,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Budapest,97,PM2.5,15,1,35,43,271,26,0,13,1,0
25,Philadelphia,86,PM2.5,15,0,22,55,397,27,1,18,0,0
42,Tegucigalpa,40,PM2.5,0,0,0,0,0,0,0,0,0,0
91,Zhenjiang Jiangsu,167,PM2.5,45,3,62,142,771,43,0,0,0,0
0,Madurai,93,PM2.5,15,1,29,44,313,22,0,14,1,0
1,Quanzhou,54,PM2.5,50,3,13,36,349,5,1,9,0,0
2,Palembang,82,PM2.5,47,1,27,48,199,23,0,0,0,0
3,Santa Cruz,52,PM2.5,23,0,14,40,406,28,2,17,0,0
4,Gaziantep,82,PM2.5,6,5,25,36,1073,55,0,0,0,0
5,Sharjah,130,PM2.5,8,8,49,90,576,65,0,0,0,0
6,Phoenix,47,PM10,25,0,8,33,211,17,0,0,0,0
7,Lyon,63,PM2.5,30,1,19,46,144,32,0,0,0,0
8,Meerut,213,PM2.5,4,3,171,292,1330,46,8,32,1,0
9,Jiangmen,131,PM2.5,53,6,42,100,611,34,0,0,0,0
10,Can Tho,89,PM2.5,74,5,33,43,261,2,0,0,0,0
11,Raipur,94,PM2.5,40,22,30,43,344,8,0,0,0,0
12,Glasgow,29,O3,28,1,3,4,160,1,1,2,0,0
13,Stockholm,68,PM2.5,8,1,23,23,265,16,0,0,0,0
14,Auckland,44,PM2.5,21,1,10,35,56,17,0,0,0,0
15,Jamshedpur,167,PM2.5,66,51,78,113,842,11,0,0,0,0
16,Yinchuan,131,PM2.5,6,8,48,115,1528,45,0,0,0,0
17,Jilin,95,PM2.5,18,3,42,58,804,15,0,0,0,0
18,Srinagar,169,PM2.5,37,2,81,120,424,17,8,26,4,0
19,Batam,65,PM2.5,47,9,17,41,249,11,0,0,0,0
20,Ulaanbaatar,141,PM2.5,30,10,34,34,139,2,0,0,0,0
21,Marseille,64,PM2.5,24,1,18,47,157,21,0,0,0,0
22,Makassar,73,PM2.5,37,1,23,44,174,13,0,0,0,0
23,Aurangabad,154,PM2.5,4,12,65,92,642,9,2,5,5,0
24,Qiqihaer,112,PM2.5,22,42,32,73,534,11,0,0,0,0
25,Xining,23,O3,23,0,4,6,115,1,0,0,0,0
26,San Antonio,83,PM2.5,6,0,27,58,0,23,6,16,0,0
27,Calgary,52,PM2.5,1,0,15,30,478,49,12,50,0,0
28,Daejon,28,O3,31,0,2,4,137,1,0,0,0,0
29,Monrovia,47,PM2.5,14,0,13,39,370,34,2,23,0,70
30,Tiruppur,71,PM2.5,14,4,26,36,264,12,6,18,0,0
31,Munich,21,O3,23,1,2,3,175,4,2,0,0,0
32,Ciudad Juarez,39,PM2.5,30,4,9,14,158,17,0,0,0,0
33,Kananga,59,PM2.5,28,1,22,33,90,25,0,0,0,0
34,Gwangju,70,PM2.5,31,4,22,33,688,22,0,0,0,0
35,Suqian,116,PM2.5,46,8,37,144,779,17,0,0,0,0
36,Yekaterinburg,66,PM2.5,27,4,21,37,156,48,0,0,0,0
37,Abu Dhabi,78,PM2.5,12,7,26,67,299,65,0,0,0,0
38,Jodhpur,153,PM2.5,21,2,62,169,1423,52,14,44,4,0
39,Edmonton,40,PM2.5,24,0,10,43,397,24,1,16,1,1
40,Ranchi,154,PM2.5,52,15,55,91,468,22,2,9,4,0
41,Kathmandu,163,PM2.5,15,2,77,77,381,3,3,14,2,0
42,Jabalpur,162,PM2.5,8,7,80,167,471,14,6,22,0,0
43,Asansol,156,PM2.5,56,28,62,90,594,16,13,37,4,0
44,Kota,163,PM2.5,25,4,75,113,476,41,9,34,2,0
45,San Diego,34,O3,42,0,7,25,283,16,0,4,0,0
46,Kharkiv,84,PM2.5,8,2,36,36,225,18,0,0,0,0
48,Allahabad,168,PM2.5,2,5,91,131,880,28,3,20,74,0
49,Gwalior,99,PM2.5,4,3,35,42,388,3,2,4,4,0
50,Ottawa,45,PM2.5,23,1,9,13,185,16,0,0,0,0
51,Zurich,22,O3,25,0,3,4,146,8,0,13,0,0
52,Belgrade,78,PM2.5,7,11,28,30,673,6,0,0,0,0
53,Amritsar,363,PM2.5,9,6,345,345,998,14,15,14,1,0
54,Joao Pessoa,44,PM2.5,18,0,10,20,69,0,0,0,0,0
55,Queretaro,153,PM2.5,2,9,63,264,2706,28,0,0,0,0
56,Taian Shandong,78,PM2.5,36,2,25,40,293,29,6,16,0,0
57,Copenhagen,77,PM2.5,10,0,24,34,326,16,14,11,0,0
58,Konya,167,PM2.5,5,10,82,86,781,24,0,0,0,0
59,Dhanbad,156,PM2.5,68,19,63,103,561,33,0,0,0,0
60,Dallas,72,PM2.5,19,0,24,41,201,19,0,4,0,0
61,Ganzhou,132,PM2.5,72,19,45,116,948,11,0,0,0,0
62,Adelaide,42,PM2.5,21,0,10,50,54,33,0,0,0,0
63,Hai Phong,159,PM2.5,79,18,72,82,578,7,0,0,0,0
64,Mombasa,44,PM2.5,34,3,13,19,143,2,0,0,0,0
65,Jiaxing,158,PM2.5,49,7,79,145,1202,40,0,0,0,0
66,Helsinki,59,PM2.5,20,1,17,27,170,19,0,0,1,0
67,Porto,86,PM2.5,27,1,27,35,159,14,0,0,0,0
68,Zhanjiang,132,PM2.5,91,5,48,72,572,9,0,0,0,0
69,Prague,96,PM2.5,10,1,32,46,356,52,4,17,0,0
70,Dongying,168,PM2.5,10,6,83,141,1291,34,0,0,0,0
71,Mianyang Sichuan,71,PM2.5,37,1,20,44,295,40,5,14,0,0
72,Nanchong,110,PM2.5,14,1,47,101,685,14,0,0,0,0
73,Fushun Liaoning,110,PM2.5,14,1,47,101,685,14,0,0,0,0
74,Antalya,104,PM2.5,17,1,34,66,679,72,0,0,0,0
75,Bareilly,183,PM2.5,60,17,92,161,692,37,0,0,0,0
76,Kazan,37,PM2.5,22,2,9,21,156,17,0,0,0,0
77,Ad-Dammam,173,PM2.5,15,36,116,116,241,63,0,0,0,0
78,Port Elizabeth,63,PM2.5,12,2,18,39,123,25,1,1,0,0
79,Ahvaz,31,O3,30,1,2,5,91,1,0,0,0,0
80,Florianopolis,63,PM2.5,15,2,17,28,54,14,0,0,0,0
81,Nizhniy Novgorod,71,PM2.5,15,3,25,44,193,36,0,0,0,0
82,Dublin,42,PM2.5,34,2,6,11,375,10,1,2,0,0
83,Maoming,28,PM2.5,20,0,6,8,209,7,1,5,0,0
84,San Luis Potosi,85,PM2.5,9,5,26,70,517,21,0,0,0,0
85,Mysore,73,PM2.5,46,1,23,63,163,31,0,0,0,0
86,Chelyabinsk,67,PM2.5,29,2,22,38,143,44,0,0,0,0
87,Moradabad,195,PM2.5,71,14,125,168,667,38,0,0,0,0
88,Barquisimeto,24,O3,24,1,4,6,145,3,0,0,0,0
89,Durg-Bhilainagar,107,PM2.5,36,45,37,53,519,19,0,0,0,0
90,Suzhou,77,PM2.5,38,0,25,49,146,17,0,0,0,0
91,Maracay,22,PM2.5,18,3,6,8,148,5,0,0,0,0
92,Ruian,31,PM2.5,20,0,8,12,332,5,0,1,0,0
93,Baoji,113,PM2.5,17,2,36,146,860,22,0,0,0,0
94,Bhubaneswar,134,PM2.5,42,4,47,78,233,36,0,0,0,0
95,Pingdingshan Henan,134,PM2.5,42,4,47,78,233,36,0,0,0,0
96,Mendoza,47,PM2.5,15,1,12,21,112,20,0,0,0,0
