,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
42,Tegucigalpa,65,PM2.5,24,0,20,24,396,25,0,15,1,0
192,Ashgabat,95,PM2.5,28,1,33,45,257,8,0,0,0,0
0,Budapest,112,PM2.5,2,1,39,58,441,29,0,41,1,0
1,Madurai,151,PM2.5,20,4,49,71,292,22,4,11,0,0
2,Quanzhou,62,PM2.5,59,3,16,44,262,5,1,9,0,0
3,Palembang,78,PM2.5,41,1,26,45,181,29,0,0,0,0
4,Santa Cruz,55,PM2.5,14,0,14,30,704,31,22,41,0,0
5,Gaziantep,114,PM2.5,11,19,45,72,964,37,0,0,0,0
6,Sharjah,139,PM2.5,18,9,60,89,396,68,0,0,0,0
7,Phoenix,78,PM10,1,1,21,126,733,55,22,0,0,0
8,Lyon,52,PM2.5,32,7,11,11,165,25,0,0,0,0
9,Meerut,168,PM2.5,7,3,91,184,1075,41,4,22,0,0
10,Jiangmen,158,PM2.5,37,6,71,119,697,58,0,0,0,0
11,Can Tho,111,PM2.5,82,4,41,46,303,2,0,0,0,0
12,Raipur,153,PM2.5,58,28,56,80,462,13,0,0,0,0
13,Glasgow,29,O3,27,1,2,4,188,3,1,3,0,0
14,Stockholm,83,PM2.5,7,0,24,29,471,31,0,0,0,0
15,Auckland,51,PM2.5,20,1,12,35,64,15,0,0,0,0
16,Jamshedpur,162,PM2.5,53,26,73,140,856,15,12,30,0,0
17,Yinchuan,143,PM2.5,6,2,55,117,1046,29,0,0,0,0
18,Jilin,74,PM2.5,29,3,17,25,584,9,0,0,0,0
19,Srinagar,154,PM2.5,33,2,60,81,317,15,3,18,3,0
20,Batam,77,PM2.5,45,7,27,99,214,16,0,0,0,0
21,Ulaanbaatar,368,PM2.5,27,24,312,312,186,14,0,0,0,0
22,Marseille,57,PM2.5,25,2,14,26,154,28,0,0,0,0
23,Makassar,84,PM2.5,39,1,29,60,199,12,0,0,0,0
24,Aurangabad,158,PM2.5,53,8,71,92,489,4,6,20,1,0
25,Philadelphia,63,PM2.5,10,1,14,38,307,21,0,14,0,0
26,Qiqihaer,128,PM2.5,14,30,49,103,712,21,0,0,0,0
27,Xining,30,PM2.5,26,0,7,10,112,1,0,0,0,0
28,San Antonio,67,PM2.5,8,0,22,37,0,35,13,36,0,0
29,Calgary,53,PM2.5,2,0,13,38,510,53,16,58,0,0
30,Daejon,28,O3,31,0,2,4,137,4,5,12,0,0
31,Monrovia,65,PM2.5,13,0,20,47,389,33,3,22,0,0
32,Tiruppur,78,PM2.5,19,3,27,41,262,10,5,12,0,0
33,Munich,19,PM2.5,18,1,5,6,218,7,2,0,0,0
34,Ciudad Juarez,51,PM2.5,34,6,12,19,189,24,0,0,0,0
35,Kananga,79,PM2.5,34,1,26,47,109,22,0,0,0,0
36,Gwangju,153,PM2.5,38,4,53,63,688,22,0,0,0,0
37,Suqian,91,PM2.5,36,3,25,46,431,12,0,0,0,0
38,Yekaterinburg,64,PM2.5,16,2,21,38,174,55,0,0,0,0
39,Abu Dhabi,108,PM2.5,28,6,42,66,207,54,0,0,0,0
40,Jodhpur,162,PM2.5,13,3,82,157,157,30,13,32,2,0
41,Edmonton,65,PM2.5,24,0,20,24,396,25,0,15,1,0
42,Ranchi,159,PM2.5,58,9,69,99,423,20,2,7,3,0
