,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
10,Mosul,155,PM2.5,25,81,84,121,884,45,0,0,0,0
39,Basra,55,PM2.5,24,1,16,31,83,1,0,0,0,0
135,Cancun,35,PM2.5,34,0,9,17,86,0,0,0,0,0
136,Jixi Heilongjiang,60,PM2.5,31,1,14,27,309,16,0,0,0,0
137,Morelia,80,PM2.5,12,6,27,52,1124,8,0,0,0,0
147,Zamboanga City,64,PM2.5,38,0,22,25,116,11,0,0,0,0
177,Quebec City,24,PM2.5,27,1,5,5,152,3,0,0,0,0
0,Budapest,91,PM2.5,2,2,30,33,270,29,0,23,1,0
1,Madurai,120,PM2.5,23,3,45,74,333,24,4,11,0,0
2,Quanzhou,41,O3,46,3,8,27,175,6,1,6,0,0
3,Palembang,81,PM2.5,21,0,27,46,256,32,0,0,0,0
4,Santa Cruz,66,PM2.5,3,1,16,28,558,25,7,24,0,0
5,Gaziantep,151,PM2.5,17,15,46,85,1167,43,0,0,0,0
6,Sharjah,121,PM2.5,55,5,39,79,215,54,0,0,0,0
7,Phoenix,85,PM2.5,13,0,26,58,392,29,2,0,0,0
8,Lyon,60,PM2.5,5,2,20,26,183,32,28,5,0,0
9,Meerut,162,PM2.5,19,5,61,158,174,45,6,30,1,0
10,Jiangmen,75,PM2.5,54,3,26,48,577,23,0,0,0,0
11,Can Tho,77,PM2.5,15,3,28,42,556,24,0,0,0,0
12,Raipur,155,PM2.5,25,81,84,121,884,45,0,0,0,0
13,Glasgow,38,PM2.5,38,0,10,18,133,10,0,0,0,0
14,Stockholm,58,PM2.5,14,1,17,44,348,41,0,0,0,0
15,Auckland,42,PM2.5,11,0,9,46,72,13,0,0,0,0
16,Jamshedpur,83,PM2.5,22,12,30,46,436,16,12,23,2,0
17,Yinchuan,47,PM2.5,34,2,14,20,405,14,0,0,0,0
18,Jilin,57,PM2.5,19,3,19,31,627,19,0,0,0,0
19,Srinagar,106,PM2.5,41,2,35,66,250,13,2,10,2,0
20,Batam,85,PM2.5,39,4,31,105,303,25,0,0,0,0
21,Ulaanbaatar,148,PM2.5,8,56,43,58,564,30,0,0,0,0
22,Marseille,56,PM2.5,10,1,14,24,170,29,0,24,1,0
23,Makassar,85,PM2.5,23,1,26,42,435,22,0,0,0,0
24,Aurangabad,157,PM2.5,55,8,59,86,707,8,1,4,5,0
25,Philadelphia,44,PM10,20,0,11,53,326,25,1,19,0,0
26,Qiqihaer,39,PM2.5,13,7,8,28,450,13,0,0,0,0
27,Xining,20,PM2.5,15,0,5,8,161,1,0,0,0,0
28,San Antonio,46,PM2.5,9,0,11,43,0,13,1,4,0,0
29,Calgary,33,NO2,5,0,6,17,368,36,30,59,0,0
30,Daejon,26,O3,28,0,6,13,150,17,8,18,0,0
31,Monrovia,95,PM2.5,3,0,27,38,838,31,16,40,0,0
32,Tiruppur,71,PM2.5,15,2,20,32,273,7,5,13,0,0
33,Munich,61,PM2.5,6,1,17,17,263,10,49,0,0,0
34,Ciudad Juarez,51,PM2.5,39,8,11,17,221,19,0,0,0,0
35,Kananga,53,PM2.5,35,1,13,38,134,19,0,0,0,0
36,Gwangju,65,PM2.5,30,3,22,38,628,25,0,0,0,0
37,Suqian,158,PM2.5,35,5,71,108,684,23,0,0,0,0
38,Yekaterinburg,57,PM2.5,22,3,15,30,143,42,0,0,0,0
39,Abu Dhabi,79,PM2.5,54,1,24,66,149,34,0,0,0,0
40,Jodhpur,159,PM2.5,45,2,60,118,550,28,17,35,4,0
41,Edmonton,40,PM2.5,5,0,10,35,396,20,3,21,1,0
42,Ranchi,151,PM2.5,27,10,61,92,328,42,6,10,2,0
43,Kathmandu,80,PM2.5,17,2,24,45,573,11,3,5,1,0
44,Jabalpur,161,PM2.5,49,14,56,161,1231,34,4,38,0,0
45,Asansol,84,PM2.5,32,3,33,50,376,3,14,23,2,0
46,San Diego,108,PM2.5,6,0,38,67,573,44,0,0,0,0
47,Kharkiv,84,PM2.5,20,4,29,43,200,28,0,0,0,0
49,Allahabad,166,PM2.5,14,5,73,136,723,21,2,12,0,0
50,Gwalior,125,PM2.5,36,3,33,54,399,2,1,2,2,0
51,Ottawa,32,PM2.5,24,0,8,16,167,16,0,0,0,0
52,Zurich,37,PM2.5,11,0,8,12,722,16,8,5,0,0
53,Belgrade,75,PM2.5,6,11,25,26,618,21,0,0,0,0
54,Amritsar,153,PM2.5,9,4,49,111,707,23,7,24,1,0
55,Joao Pessoa,55,PM2.5,24,1,16,31,83,1,0,0,0,0
56,Queretaro,99,PM2.5,2,6,35,65,1405,5,0,0,0,0
57,Taian Shandong,76,PM2.5,27,2,24,40,213,33,10,18,0,0
58,Copenhagen,58,PM2.5,8,0,16,37,234,23,65,45,0,0
59,Konya,167,PM2.5,36,5,72,106,318,26,0,0,0,0
60,Dhanbad,117,PM2.5,32,4,47,73,375,35,14,22,2,0
61,Dallas,44,PM2.5,9,0,11,24,101,18,0,6,0,0
62,Ganzhou,72,PM2.5,55,2,22,45,855,9,0,0,0,0
63,Adelaide,42,PM2.5,18,0,11,37,68,26,0,0,0,0
64,Hai Phong,83,PM2.5,40,16,28,39,458,21,0,0,0,0
65,Mombasa,85,PM2.5,69,6,31,48,226,4,0,0,0,0
66,Jiaxing,91,PM2.5,50,4,25,56,669,27,0,0,0,0
67,Helsinki,66,PM2.5,19,1,23,23,182,22,0,0,1,0
68,Porto,82,PM2.5,7,0,29,41,366,33,0,0,0,0
69,Zhanjiang,77,PM2.5,62,3,28,45,378,9,0,0,0,0
70,Prague,99,PM2.5,6,1,39,69,497,58,27,30,0,0
71,Dongying,52,PM2.5,30,3,9,27,508,8,0,0,0,0
72,Mianyang Sichuan,70,PM2.5,24,2,21,49,242,44,10,18,0,0
73,Nanchong,167,PM2.5,21,1,90,101,690,11,0,0,0,0
74,Fushun Liaoning,167,PM2.5,21,1,90,101,690,11,0,0,0,0
75,Antalya,90,PM2.5,21,3,34,71,573,53,0,0,0,0
76,Bareilly,105,PM2.5,14,4,32,91,539,23,2,4,0,0
77,Kazan,27,PM2.5,27,2,6,9,135,3,0,0,0,0
78,Ad-Dammam,101,PM2.5,37,26,35,59,172,54,0,0,0,0
79,Port Elizabeth,63,PM2.5,13,2,17,44,116,30,3,3,0,0
80,Ahvaz,32,O3,37,0,3,3,119,1,0,0,0,0
81,Florianopolis,48,PM2.5,20,0,16,35,69,19,0,0,0,0
82,Nizhniy Novgorod,69,PM2.5,26,2,19,35,135,33,0,0,0,0
83,Dublin,67,PM2.5,24,3,22,23,357,18,22,18,0,0
84,Maoming,54,PM2.5,15,0,14,14,197,5,11,1,0,0
85,San Luis Potosi,74,PM2.5,22,4,19,45,317,19,0,0,0,0
86,Mysore,129,PM2.5,26,3,44,104,254,35,3,14,4,0
87,Chelyabinsk,57,PM2.5,15,2,13,26,151,32,0,0,0,0
88,Moradabad,90,PM2.5,10,3,22,81,507,28,2,2,0,0
89,Barquisimeto,38,PM2.5,21,2,10,15,263,6,0,0,0,0
90,Durg-Bhilainagar,158,PM2.5,22,122,90,129,1174,46,0,0,0,0
91,Suzhou,71,PM2.5,27,1,22,42,232,31,0,0,0,0
92,Maracay,36,PM2.5,17,4,7,10,186,4,0,0,0,0
93,Ruian,37,PM2.5,28,1,11,13,196,16,0,0,1,0
94,Zhenjiang Jiangsu,161,PM2.5,27,4,72,101,784,71,0,0,0,0
95,Baoji,118,PM2.5,22,3,45,74,498,29,0,0,0,0
96,Bhubaneswar,105,PM2.5,13,5,41,62,405,56,0,0,0,0
97,Pingdingshan Henan,105,PM2.5,13,5,41,62,405,56,0,0,0,0
98,Mendoza,56,PM2.5,24,1,11,20,135,18,0,0,0,0
99,Chiang Mai,74,O3,74,1,19,37,655,4,0,0,0,0
100,Tiruchirappalli,132,PM2.5,52,6,50,86,440,17,1,4,1,0
101,Huaibei,95,PM2.5,11,3,34,97,320,45,1,16,0,0
102,Jinhua,61,PM2.5,23,0,20,42,230,38,18,49,0,0
103,Chandigarh,160,PM2.5,37,8,68,143,518,39,7,19,3,0
104,Islamabad,85,PM2.5,12,5,35,50,1051,39,0,0,0,0
105,Amsterdam,87,PM2.5,5,0,32,42,316,21,3,0,0,0
106,Haifa,87,PM2.5,48,1,29,97,417,12,5,17,1,0
107,Guilin,109,PM2.5,50,3,39,57,327,13,0,0,0,0
108,Mexicali,153,PM2.5,4,0,60,72,661,22,39,61,0,0
109,Ufa,57,PM2.5,17,2,16,28,147,44,0,0,0,0
110,Rostov-on-Don,85,PM2.5,20,10,25,48,227,37,0,0,0,0
111,Hubli-Dharwad,102,PM2.5,39,1,33,63,176,18,8,22,0,0
112,Guwahati,161,PM2.5,13,6,74,99,373,11,3,7,0,0
113,Liupanshui,157,PM2.5,21,4,70,109,804,42,0,0,0,0
114,Quetta,47,O3,55,1,9,15,151,2,0,0,0,0
115,Cologne,61,PM2.5,1,1,18,37,289,20,57,16,0,0
116,Aguascalientes,58,PM2.5,27,4,14,35,302,8,0,0,0,0
117,Binzhou,61,PM2.5,25,0,19,29,214,19,0,9,0,0
118,Salem,28,O3,36,0,3,10,204,2,0,10,0,0
119,Saharanpur,166,PM2.5,33,9,88,185,450,25,2,13,3,0
120,Yerevan,171,PM2.5,29,7,95,179,498,13,0,0,0,0
121,Tbilisi,54,PM2.5,34,1,15,35,191,4,0,0,0,0
122,Jalandhar,102,PM2.5,34,6,32,96,916,14,4,8,1,0
123,Lille,111,PM2.5,9,0,48,67,238,29,15,7,1,0
124,Siliguri,107,PM2.5,24,2,38,133,279,26,23,33,2,0
125,Oslo,46,PM2.5,26,1,11,26,215,22,29,38,0,0
126,Jingzhou Hubei,46,PM2.5,26,1,11,26,215,22,29,38,0,0
127,Zhaoqing,59,PM2.5,54,4,16,31,387,13,0,0,0,0
128,Antwerp,74,PM2.5,4,1,25,32,257,12,31,0,0,0
129,Johor Bahru,151,PM2.5,30,4,69,73,319,40,0,0,0,0
130,Solapur,131,PM2.5,66,4,50,114,273,21,0,0,0,0
131,Teresina,64,PM2.5,29,0,24,32,161,14,0,0,0,0
132,Fuzhou Jiangxi,90,PM2.5,34,1,26,46,299,39,0,0,0,0
133,Aracaju,61,PM2.5,19,0,19,41,75,13,0,0,0,0
134,Leshan,181,PM2.5,7,6,118,177,958,34,0,0,0,0
135,Marrakech,29,PM2.5,39,0,7,11,97,1,0,0,0,0
136,Rotterdam,96,PM2.5,5,1,34,42,279,26,4,0,1,0
137,Austin,52,PM2.5,12,0,14,41,298,16,2,6,0,0
138,San Jose,70,PM2.5,2,0,20,35,570,19,8,26,0,0
139,Denpasar,69,PM2.5,18,0,24,46,246,15,0,0,0,0
140,Odesa,79,PM2.5,29,2,23,42,149,27,0,0,0,0
141,San Miguel de Tucuman,72,PM2.5,16,3,24,38,233,21,0,0,0,0
142,Padang,66,PM2.5,20,1,22,53,292,23,0,0,0,0
143,Cebu City,64,PM2.5,38,1,19,34,132,23,0,0,0,0
144,Acapulco de Juarez,51,PM2.5,39,8,11,17,221,19,0,0,0,0
145,Valparaiso,76,PM2.5,23,3,27,46,522,15,0,0,0,0
146,Kayseri,172,PM2.5,7,5,100,193,1155,51,0,0,0,0
147,Warangal,67,PM2.5,53,11,21,30,249,6,2,8,0,0
148,Changshu,110,PM2.5,13,4,41,86,1050,56,0,0,0,0
149,Bordeaux,41,PM2.5,12,1,12,22,178,12,0,41,0,0
150,Songkhla,49,PM2.5,51,6,12,27,14,2,0,0,0,0
151,Yichun Jiangxi,77,PM2.5,18,2,22,56,261,16,4,19,0,0
152,Krasnodar,82,PM2.5,21,2,30,34,219,29,0,0,0,0
153,Dnipro,71,PM2.5,26,2,19,35,193,26,0,0,0,0
154,Khulna,57,PM2.5,16,3,15,25,439,8,10,29,7,0
155,Jerusalem,112,PM2.5,43,1,39,141,227,12,11,30,1,0
156,Dehradun,156,PM2.5,33,7,65,173,437,32,3,15,3,0
157,Fort Worth,30,PM2.5,17,0,6,16,196,9,0,2,0,0
158,Jiujiang,99,PM2.5,23,4,38,55,1063,44,0,0,0,0
159,Southampton,32,O3,38,0,6,24,162,5,6,25,0,0
160,Arequipa,38,PM2.5,29,1,9,15,155,4,0,0,0,0
161,Ciudad Guayana,38,PM2.5,29,1,9,15,155,4,0,0,0,0
162,Veracruz,48,PM2.5,21,1,13,20,178,4,0,0,0,0
163,Jacksonville,90,PM2.5,1,1,31,49,900,19,0,0,0,0
164,Pathum Thani,125,PM2.5,31,2,52,97,397,22,0,0,0,0
165,Rajshahi,66,PM2.5,24,2,15,24,267,10,9,24,2,0
166,Guigang,112,PM2.5,22,2,48,101,244,13,3,14,0,0
167,Columbus,27,O3,30,0,4,8,100,12,0,0,0,0
168,Charlotte,75,PM2.5,16,0,27,53,231,12,0,6,0,0
169,Ulsan,75,PM2.5,15,3,24,38,635,38,0,4,0,0
170,Liverpool,58,PM2.5,17,1,17,22,129,30,26,40,0,0
171,Antipolo,63,PM2.5,26,0,17,33,233,38,0,0,0,0
172,Zhangzhou,65,PM2.5,45,3,19,53,296,14,1,7,0,0
173,Bergamo,53,PM2.5,3,1,15,24,438,29,0,0,1,0
174,Donetsk,82,PM2.5,18,10,22,29,469,23,0,0,0,0
175,Malang,99,PM2.5,2,0,37,66,878,31,0,0,0,0
176,Linfen,154,PM2.5,7,10,64,106,1044,41,0,0,0,0
177,Sylhet,43,PM2.5,5,7,9,14,106,2,1,3,0,0
178,Indianapolis,66,PM2.5,18,0,19,60,306,17,0,0,0,0
179,Hermosillo,37,PM2.5,17,1,9,15,202,8,0,0,0,0
180,San Francisco,80,PM2.5,2,0,29,51,481,28,3,18,0,0
181,Guntur,40,PM2.5,17,8,7,35,713,6,2,8,0,0
182,Bahawalpur,156,PM2.5,59,5,61,98,589,4,0,0,0,0
183,Tyumen,59,PM2.5,25,1,15,30,136,37,0,0,0,0
184,Soshanguve,46,PM2.5,22,1,13,18,1034,4,5,10,1,0
185,Tuxtla Gutierrez,66,PM2.5,17,1,16,23,195,2,0,0,0,0
186,Puducherry,124,PM2.5,30,3,45,90,437,11,1,4,1,0
187,Culiacan,52,PM2.5,7,0,11,17,280,7,0,0,0,0
188,Saratov,60,PM2.5,16,2,13,32,142,29,0,0,0,0
189,Valencia,61,PM2.5,31,1,17,17,118,15,2,6,0,0
190,Luzhou,214,PM2.5,3,8,170,199,1084,37,0,0,0,0
191,Yibin,190,PM2.5,19,6,139,195,924,21,0,0,0,0
192,Ipoh,123,PM2.5,10,1,45,76,568,31,0,0,0,0
193,Winnipeg,36,O3,39,0,1,1,117,0,0,0,0,0
194,Bogra,65,PM2.5,29,0,19,19,225,5,0,0,0,0
