,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
179,Soshanguve,53,PM2.5,42,4,15,39,1011,6,3,7,0,0
180,Tuxtla Gutierrez,67,PM2.5,19,0,17,25,337,6,0,0,0,0
181,Puducherry,69,PM2.5,19,2,24,104,594,16,3,7,1,0
182,Culiacan,20,O3,17,1,5,7,139,3,0,0,0,0
183,Saratov,61,PM2.5,19,2,19,31,148,24,0,0,0,0
184,Valencia,54,PM2.5,28,1,14,17,100,16,1,7,0,0
185,Luzhou,103,PM2.5,9,4,34,34,598,14,0,0,0,0
186,Quebec City,81,PM2.5,7,2,29,29,260,16,0,0,0,0
187,Yibin,59,PM2.5,21,3,15,19,522,16,0,0,0,0
188,Ipoh,110,PM2.5,37,1,33,72,257,13,0,0,0,0
189,Winnipeg,29,O3,34,2,6,9,138,2,0,0,0,0
190,Bogra,171,PM2.5,62,5,91,112,421,5,0,0,0,0
