,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
14,Novosibirsk,47,PM2.5,29,0,12,17,199,19,9,29,0,0
102,Jinhua,65,PM2.5,7,1,18,42,326,50,61,99,0,0
105,Amsterdam,60,PM2.5,15,0,16,31,246,30,2,0,0,0
123,Managua,58,PM2.5,33,2,0,0,995,3,16,12,2,0
0,Budapest,91,PM2.5,8,1,36,38,302,41,0,62,1,0
1,Madurai,116,PM2.5,14,2,46,68,280,29,2,7,0,0
2,Quanzhou,61,PM2.5,47,3,16,36,349,7,1,9,0,0
3,Palembang,98,PM2.5,13,1,43,55,421,35,0,0,0,0
4,Santa Cruz,18,PM2.5,7,1,4,10,508,11,21,32,0,0
5,Gaziantep,153,PM2.5,18,12,55,83,927,55,0,0,0,0
6,Sharjah,105,PM2.5,26,5,39,61,236,67,0,0,0,0
7,Phoenix,26,O3,27,0,7,22,163,15,0,0,0,0
8,Lyon,54,PM2.5,11,0,14,34,126,29,9,0,0,0
9,Meerut,153,PM2.5,16,5,51,167,667,38,3,18,0,0
10,Jiangmen,132,O3,51,3,32,109,637,30,0,0,0,0
11,Can Tho,89,PM2.5,30,3,26,39,548,20,0,0,0,0
12,Raipur,162,PM2.5,11,61,89,127,904,46,0,0,0,0
13,Glasgow,47,PM2.5,29,0,12,17,199,19,9,29,0,0
14,Stockholm,53,PM2.5,8,1,11,28,301,40,0,0,0,0
15,Auckland,34,PM2.5,11,0,7,28,57,14,0,0,0,0
16,Jamshedpur,188,PM2.5,48,26,142,203,1242,31,10,38,7,0
17,Yinchuan,81,PM2.5,3,4,27,105,1323,50,0,0,0,0
18,Jilin,116,PM2.5,23,2,42,77,781,10,0,0,0,0
19,Srinagar,95,PM2.5,47,3,25,61,323,7,2,11,2,0
20,Batam,62,PM2.5,26,2,9,13,260,15,0,0,0,0
21,Ulaanbaatar,81,PM2.5,12,17,31,31,241,17,0,0,0,0
22,Marseille,65,PM2.5,37,1,21,28,152,21,0,0,0,0
23,Makassar,73,PM2.5,21,2,23,36,379,19,0,0,0,0
24,Aurangabad,153,PM2.5,16,8,67,91,498,8,1,3,4,0
25,Philadelphia,82,PM2.5,10,0,33,69,356,40,2,23,0,0
26,Qiqihaer,63,PM2.5,9,11,19,28,903,21,0,0,0,0
27,Xining,22,O3,36,0,3,4,107,0,0,0,0,0
28,San Antonio,78,PM2.5,16,0,28,51,0,15,0,4,0,0
29,Calgary,42,NO2,20,0,8,20,417,45,45,77,0,0
30,Daejon,28,O3,32,0,6,20,138,20,13,36,0,0
31,Monrovia,30,PM2.5,5,0,6,20,299,27,10,29,0,0
32,Tiruppur,59,PM2.5,10,4,14,25,264,8,5,13,0,0
33,Munich,16,PM2.5,17,1,4,6,245,11,20,0,1,0
34,Ciudad Juarez,43,PM2.5,43,6,11,17,186,5,0,0,0,0
35,Kananga,37,PM2.5,18,1,9,32,103,18,0,0,0,0
36,Gwangju,68,PM2.5,18,3,21,35,691,32,0,0,0,0
37,Suqian,152,PM2.5,24,3,59,147,779,35,0,0,0,0
38,Yekaterinburg,69,PM2.5,18,3,19,34,154,48,0,0,0,0
39,Abu Dhabi,77,PM2.5,49,2,23,62,140,37,0,0,0,0
40,Jodhpur,128,PM2.5,41,3,48,115,131,30,18,33,3,0
41,Edmonton,22,O3,32,0,4,6,298,6,0,7,0,0
42,Ranchi,166,PM2.5,26,10,93,178,583,37,4,14,3,0
43,Kathmandu,133,PM2.5,11,3,60,87,1090,24,3,10,1,0
44,Jabalpur,133,PM2.5,51,12,48,74,1092,27,3,30,0,0
45,Asansol,176,PM2.5,80,3,117,170,437,13,12,40,7,0
46,Kota,153,PM2.5,27,5,65,128,463,31,20,47,2,0
47,San Diego,37,PM10,19,1,7,41,212,19,7,17,0,0
48,Kharkiv,88,PM2.5,10,2,31,40,199,30,0,0,0,0
49,San Jose,54,PM2.5,0,1,12,37,686,20,27,41,0,0
50,Allahabad,153,PM2.5,17,5,65,120,533,32,1,11,74,0
51,Gwalior,59,PM2.5,47,3,18,45,369,2,1,2,2,0
52,Ottawa,58,PM2.5,23,1,17,42,218,21,0,0,0,0
53,Zurich,14,PM2.5,23,0,3,7,163,15,4,13,0,0
54,Belgrade,77,PM2.5,6,11,25,27,704,42,0,0,0,0
55,Amritsar,160,PM2.5,12,5,59,118,332,55,18,87,1,0
56,Joao Pessoa,54,PM2.5,26,1,15,27,85,1,0,0,0,0
57,Queretaro,119,PM2.5,5,8,39,103,1353,10,0,0,0,0
58,Taian Shandong,73,PM2.5,26,2,22,45,452,36,6,23,0,0
