,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Budapest,115,PM2.5,9,2,42,56,220,25,0,20,1,0
1,Madurai,78,PM2.5,15,1,21,35,265,10,4,12,1,0
2,Quanzhou,55,PM2.5,35,5,15,55,262,11,2,10,0,0
3,Palembang,87,PM2.5,37,1,30,55,254,22,0,0,0,0
4,Santa Cruz,60,PM2.5,31,0,16,54,338,48,2,12,0,0
5,Gaziantep,143,PM2.5,15,39,41,67,1027,30,0,0,0,0
6,Sharjah,151,PM2.5,19,5,61,71,297,40,0,0,0,0
7,Phoenix,64,PM2.5,29,0,17,70,456,41,0,0,0,0
8,Lyon,60,PM2.5,16,3,16,43,210,29,3,5,0,0
9,Meerut,204,PM2.5,3,3,161,275,1060,39,19,44,1,0
10,Jiangmen,117,PM2.5,14,6,38,75,522,37,0,0,0,0
11,Can Tho,96,PM2.5,52,6,32,40,322,4,0,0,0,0
12,Raipur,67,PM2.5,12,13,16,48,402,10,9,30,0,0
13,Glasgow,28,O3,33,0,5,10,137,18,5,19,0,0
14,Stockholm,58,PM2.5,16,0,16,28,268,22,0,0,0,0
15,Auckland,52,PM2.5,20,0,12,41,56,13,0,0,0,0
16,Jamshedpur,176,PM2.5,3,18,104,198,912,25,16,50,15,0
17,Yinchuan,94,PM2.5,3,4,34,105,1731,35,0,0,0,0
18,Jilin,59,PM2.5,27,4,20,30,551,9,0,0,0,0
19,Srinagar,155,PM2.5,18,2,68,97,672,9,19,33,6,0
20,Batam,55,PM2.5,52,3,14,26,299,9,0,0,0,0
21,Ulaanbaatar,188,PM2.5,36,13,155,155,169,10,0,0,0,0
22,Marseille,61,PM2.5,7,1,16,25,157,17,5,13,2,0
23,Makassar,57,PM2.5,25,1,22,43,230,16,0,0,0,0
24,Aurangabad,154,PM2.5,5,4,63,90,891,12,4,11,5,0
25,Philadelphia,78,PM2.5,3,2,30,50,526,47,10,42,0,0
26,Qiqihaer,66,PM2.5,13,19,21,39,454,13,0,0,0,0
27,Xining,27,PM2.5,14,0,6,9,162,3,0,0,0,0
28,San Antonio,70,PM2.5,22,0,22,48,0,36,0,7,0,0
29,Calgary,48,PM2.5,16,0,12,30,300,40,2,23,0,6
30,Daejon,27,O3,29,0,1,5,132,6,6,16,0,0
31,Monrovia,143,PM2.5,31,0,49,103,627,43,1,30,0,0
32,Tiruppur,67,PM2.5,0,5,18,27,484,14,1,27,0,0
33,Munich,20,O3,20,0,1,1,166,4,3,0,0,0
34,Ciudad Juarez,54,O3,32,5,11,17,190,23,0,0,0,0
35,Kananga,72,PM2.5,45,1,22,39,110,19,0,0,0,0
36,Gwangju,64,PM2.5,41,3,15,20,547,16,0,0,0,0
37,Suqian,159,PM2.5,4,9,62,141,971,44,0,0,0,0
38,Yekaterinburg,55,PM2.5,18,1,15,27,148,27,0,0,0,0
39,Abu Dhabi,95,PM2.5,55,1,39,79,131,15,0,0,0,0
40,Jodhpur,159,PM2.5,8,5,71,192,616,25,22,46,4,0
41,Edmonton,91,PM2.5,6,0,34,54,397,29,4,14,2,1
42,Ranchi,154,PM2.5,26,15,61,94,559,14,16,40,7,0
43,Kathmandu,120,PM2.5,17,1,50,94,564,13,3,16,1,0
44,Jabalpur,171,PM2.5,2,7,110,258,576,9,6,17,0,0
45,Asansol,183,PM2.5,1,3,108,209,873,20,14,55,15,0
46,Kota,177,PM2.5,11,4,97,130,795,44,42,97,2,0
47,San Diego,63,PM2.5,45,0,14,34,467,19,1,5,0,0
48,Kharkiv,88,PM2.5,17,1,28,33,176,20,0,0,0,0
49,San Jose,77,PM2.5,37,0,23,39,300,22,1,11,0,0
50,Allahabad,196,PM2.5,1,6,128,191,1620,37,8,34,74,0
51,Gwalior,169,PM2.5,4,6,114,143,1082,19,13,32,2,0
52,Ottawa,54,PM2.5,14,1,13,36,239,21,0,0,0,0
53,Zurich,20,O3,21,0,4,5,128,6,0,5,0,0
54,Belgrade,108,PM2.5,6,11,33,36,525,13,0,0,0,0
55,Amritsar,155,PM2.5,4,4,63,129,742,17,7,21,1,0
56,Joao Pessoa,46,PM2.5,21,1,11,21,80,1,0,0,0,0
57,Queretaro,76,PM2.5,12,7,30,89,1532,9,0,0,0,0
58,Taian Shandong,86,PM2.5,38,3,35,69,174,30,4,14,0,0
59,Copenhagen,60,PM2.5,20,0,17,25,159,17,8,17,0,0
60,Konya,265,PM2.5,2,16,202,228,1966,18,0,0,0,0
61,Dhanbad,182,PM2.5,2,4,113,219,879,22,14,55,14,0
62,Dallas,68,PM2.5,17,1,21,53,201,22,0,8,0,0
63,Ganzhou,87,PM2.5,4,2,33,63,861,17,0,0,0,0
64,Adelaide,48,PM2.5,30,0,13,26,60,19,0,0,0,0
65,Hai Phong,158,PM2.5,43,22,77,77,343,10,0,0,0,0
66,Mombasa,28,PM2.5,13,2,7,10,107,2,0,0,0,0
67,Jiaxing,93,PM2.5,6,5,32,55,807,35,0,0,0,0
68,Helsinki,63,PM2.5,23,0,17,36,162,17,0,0,1,0
69,Porto,91,PM2.5,8,3,34,34,115,20,0,0,0,0
70,Zhanjiang,113,PM2.5,36,16,38,57,516,12,0,0,0,0
71,Prague,104,PM2.5,2,1,38,51,495,38,20,12,0,0
72,Dongying,133,PM2.5,6,9,48,111,1362,32,0,0,0,0
73,Mianyang Sichuan,77,PM2.5,38,2,26,38,200,34,4,13,0,0
74,Nanchong,148,PM2.5,11,5,53,109,1091,7,0,0,0,0
75,Fushun Liaoning,148,PM2.5,11,5,53,109,1091,7,0,0,0,0
76,Antalya,88,PM2.5,11,1,29,41,429,28,0,0,0,0
77,Bareilly,215,PM2.5,3,5,183,264,1567,18,17,33,5,0
78,Kazan,22,PM2.5,18,2,6,9,141,11,0,0,0,0
79,Ad-Dammam,151,PM2.5,23,17,68,85,164,35,0,0,0,0
80,Port Elizabeth,57,PM2.5,17,2,11,36,100,11,1,0,0,0
81,Ahvaz,37,O3,46,1,8,11,146,12,0,0,0,0
82,Florianopolis,63,PM2.5,18,0,18,36,61,19,0,0,0,0
83,Nizhniy Novgorod,55,PM2.5,24,2,15,27,138,32,0,0,0,0
84,Dublin,58,PM2.5,26,2,14,15,338,14,14,11,0,0
85,Maoming,25,PM2.5,22,0,5,6,159,4,3,2,0,0
86,San Luis Potosi,63,PM2.5,22,6,21,40,748,27,0,0,0,0
87,Mysore,86,PM2.5,4,2,37,66,691,26,11,25,1,0
88,Chelyabinsk,56,PM2.5,24,1,22,39,145,25,0,0,0,0
89,Moradabad,234,PM2.5,3,4,211,321,1704,21,14,27,5,0
90,Barquisimeto,32,O3,21,2,6,9,265,10,0,0,0,0
