,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Madurai,157,PM2.5,31,7,76,113,525,20,0,0,0,0
1,Quanzhou,117,PM2.5,21,4,39,47,699,15,0,0,0,0
2,Palembang,112,PM2.5,8,1,40,62,462,34,0,0,0,0
3,Santa Cruz,112,PM2.5,8,1,40,62,462,34,0,0,0,0
4,Gaziantep,186,PM2.5,2,7,122,141,2368,75,0,0,0,0
5,Sharjah,97,PM2.5,11,8,35,78,388,69,0,0,0,0
6,Phoenix,75,PM2.5,8,2,22,57,518,44,61,0,0,0
7,Lyon,79,PM2.5,1,1,33,43,220,33,27,0,0,0
8,Meerut,303,PM2.5,30,12,220,220,703,31,0,0,0,0
9,Jiangmen,72,PM2.5,10,4,13,35,549,22,0,0,0,0
10,Can Tho,64,PM2.5,23,1,19,19,145,2,0,0,0,0
11,Raipur,184,PM2.5,10,43,116,166,2703,27,0,0,0,0
12,Glasgow,58,PM2.5,10,1,17,26,215,32,5,29,0,0
13,Stockholm,62,PM2.5,29,0,19,49,341,27,0,0,0,0
14,Auckland,62,PM2.5,16,0,17,48,56,11,0,0,0,0
15,Jamshedpur,171,PM2.5,1,28,93,133,2087,34,0,0,0,0
16,Yinchuan,52,PM2.5,28,4,14,48,509,9,0,0,0,0
17,Jilin,74,PM2.5,21,3,23,36,588,10,0,0,0,0
18,Srinagar,84,PM2.5,37,1,24,35,350,4,0,0,0,0
19,Batam,36,O3,35,2,6,7,193,5,0,0,0,0
20,Ulaanbaatar,225,PM2.5,15,39,235,235,291,22,0,0,0,0
21,Marseille,107,PM2.5,3,4,44,52,301,46,0,0,0,0
22,Makassar,49,PM2.5,20,2,10,16,297,4,0,0,0,0
23,Aurangabad,157,PM2.5,29,3,67,96,484,8,0,0,0,0
24,Philadelphia,61,PM2.5,36,1,15,44,156,24,2,9,0,0
25,Qiqihaer,60,PM2.5,28,3,15,23,273,5,0,0,0,0
26,Xining,22,PM2.5,13,0,6,10,137,7,0,0,0,0
27,San Antonio,56,PM2.5,21,0,14,41,0,16,1,3,0,0
28,Calgary,74,PM2.5,8,0,23,38,430,33,21,42,0,0
29,Daejon,38,PM2.5,37,0,11,23,130,6,1,3,0,0
30,Monrovia,58,PM2.5,11,0,18,45,475,33,23,43,0,80
31,Tiruppur,153,PM2.5,21,4,60,89,620,15,0,0,0,0
32,Munich,27,PM2.5,3,2,8,15,380,15,34,0,1,0
33,Ciudad Juarez,83,O3,74,4,11,18,154,3,0,0,0,0
34,Kananga,41,PM2.5,32,0,10,32,100,16,0,0,0,0
35,Gwangju,121,PM2.5,40,3,33,76,588,7,0,0,0,0
36,Suqian,67,PM2.5,26,8,17,34,335,11,0,0,0,0
37,Yekaterinburg,52,PM2.5,23,2,13,34,135,33,0,0,0,0
38,Abu Dhabi,52,PM2.5,23,2,13,34,135,33,0,0,0,0
39,Jodhpur,151,PM2.5,44,5,54,90,360,1,0,0,0,0
40,Edmonton,53,PM2.5,16,3,13,38,300,37,4,28,1,2
41,Ranchi,158,PM2.5,27,9,68,127,397,23,0,0,0,0
42,Kathmandu,183,PM2.5,1,2,106,106,1263,12,0,0,0,0
43,Jabalpur,161,PM2.5,15,3,73,105,454,9,0,0,0,0
44,Mandalay,161,PM2.5,15,3,73,105,454,9,0,0,0,0
45,Asansol,158,PM2.5,19,12,69,97,605,13,0,0,0,0
46,Kota,166,PM2.5,47,9,80,131,533,11,0,0,0,0
47,San Diego,43,PM2.5,31,0,11,35,612,21,8,19,0,0
48,Kharkiv,69,PM2.5,20,1,23,29,188,24,0,0,0,0
49,San Jose,31,PM2.5,32,0,7,25,309,21,3,13,0,0
50,Allahabad,196,PM2.5,12,9,131,184,878,47,0,0,0,0
51,Gwalior,165,PM2.5,31,11,81,119,724,7,0,0,0,0
52,Ottawa,65,PM2.5,30,0,13,35,191,17,0,0,0,0
53,Belgrade,153,PM2.5,2,10,60,63,1029,52,0,0,0,0
54,Amritsar,443,PM2.5,14,9,381,381,2594,49,0,0,0,0
55,Joao Pessoa,63,PM2.5,19,0,15,28,81,1,0,0,0,0
56,Basra,63,PM2.5,19,0,15,28,81,1,0,0,0,0
57,Queretaro,76,PM2.5,51,9,19,75,1175,14,0,0,0,0
58,Taian Shandong,85,PM2.5,21,5,31,71,457,21,0,0,0,0
59,Copenhagen,73,PM2.5,17,0,22,40,298,19,32,21,0,0
60,Konya,105,PM2.5,3,8,38,50,362,23,0,0,0,0
61,Dhanbad,160,PM2.5,24,11,70,101,747,8,0,0,0,0
62,Dallas,57,PM2.5,11,1,17,41,201,23,5,15,0,0
63,Ganzhou,89,PM2.5,20,3,31,32,859,8,0,0,0,0
64,Adelaide,39,PM2.5,7,0,11,34,68,22,0,0,0,0
65,Hai Phong,171,PM2.5,24,10,113,113,598,13,0,0,0,0
66,Mombasa,34,PM2.5,16,2,8,14,154,3,0,0,0,0
67,Helsinki,56,PM2.5,26,3,14,22,154,17,0,0,0,0
68,Porto,111,PM2.5,1,0,40,40,543,34,0,0,0,0
69,Zhanjiang,83,PM2.5,45,2,24,50,401,7,0,0,0,0
70,Prague,64,PM2.5,10,1,16,42,384,58,9,28,0,0
71,Dongying,33,PM2.5,30,2,8,18,243,6,0,0,0,0
72,Mianyang Sichuan,107,PM2.5,16,7,40,53,450,36,0,0,0,0
73,Nanchong,109,PM2.5,11,2,39,59,433,11,0,0,0,0
74,Fushun Liaoning,109,PM2.5,11,2,39,59,433,11,0,0,0,0
75,Antalya,92,PM2.5,4,3,37,65,968,61,0,0,0,0
76,Bareilly,160,PM2.5,27,10,73,127,568,22,0,0,0,0
77,Kazan,31,PM2.5,12,1,7,11,151,14,0,0,0,0
78,Ad-Dammam,125,PM2.5,12,40,51,99,345,77,0,0,0,0
79,Port Elizabeth,71,PM2.5,12,2,23,55,149,22,2,2,0,0
80,Ahvaz,31,O3,40,0,5,5,123,1,0,0,0,0
81,Florianopolis,54,PM2.5,22,1,13,23,86,23,0,0,0,0
82,Nizhniy Novgorod,61,PM2.5,5,3,17,26,171,34,0,0,0,0
83,Maoming,52,PM2.5,5,1,14,14,298,13,11,2,0,0
84,San Luis Potosi,64,PM2.5,66,3,18,23,120,32,0,0,0,0
85,Mysore,159,PM2.5,19,3,67,117,532,29,0,0,0,0
86,Chelyabinsk,52,PM2.5,16,4,13,26,184,30,0,0,0,0
87,Moradabad,190,PM2.5,31,10,127,127,598,27,0,0,0,0
88,Barquisimeto,37,O3,43,2,5,9,151,3,0,0,0,0
89,Durg-Bhilainagar,193,PM2.5,4,64,135,193,3595,33,0,0,0,0
90,Suzhou,64,PM2.5,30,0,17,38,132,13,0,0,0,0
91,Maracay,37,PM2.5,34,7,9,15,193,7,0,0,0,0
92,Ruian,60,PM2.5,13,1,19,31,603,38,0,1,1,0
93,Zhenjiang Jiangsu,181,PM2.5,19,5,86,108,698,35,0,0,0,0
94,Baoji,64,PM2.5,24,2,18,37,302,10,0,0,0,0
95,Bhubaneswar,64,PM2.5,24,2,18,37,302,10,0,0,0,0
96,Pingdingshan Henan,172,PM2.5,5,10,85,122,852,26,0,0,0,0
97,Mendoza,53,PM2.5,39,1,12,32,174,21,0,0,0,0
98,Chiang Mai,75,PM2.5,14,1,24,35,502,19,0,0,0,0
99,Tiruchirappalli,143,PM2.5,37,11,48,80,386,6,0,0,0,0
100,Huaibei,95,PM2.5,3,24,33,95,663,48,0,0,0,0
101,Jinhua,56,PM2.5,27,1,13,45,240,34,19,40,0,0
102,Kigali,56,PM2.5,27,1,13,45,240,34,19,40,0,0
103,Chandigarh,173,PM2.5,8,7,98,146,1051,42,0,0,0,0
104,Islamabad,170,PM2.5,5,4,78,100,2126,28,0,0,0,0
105,Amsterdam,77,PM2.5,0,0,25,37,352,49,6,0,0,0
106,Haifa,77,PM2.5,0,0,25,37,352,49,6,0,0,0
107,Mexicali,56,PM2.5,27,0,10,14,346,13,14,12,0,0
108,Ufa,59,PM2.5,20,1,14,30,133,29,0,0,0,0
109,Rostov-on-Don,79,PM2.5,9,3,28,51,228,40,0,0,0,0
110,Hubli-Dharwad,155,PM2.5,25,8,63,124,385,17,0,0,0,0
111,Guwahati,152,PM2.5,18,2,58,91,465,19,0,0,0,0
112,Liupanshui,67,PM2.5,22,1,17,52,295,11,0,0,0,0
113,Quetta,79,PM2.5,20,1,26,42,663,17,0,0,0,0
114,Cologne,132,PM2.5,1,1,49,60,384,33,59,43,0,0
115,Aguascalientes,64,PM2.5,69,3,19,25,138,15,0,0,0,0
116,Binzhou,59,PM2.5,34,0,15,37,207,19,2,8,0,0
117,Salem,46,PM2.5,26,0,12,37,316,22,3,31,0,0
118,Saharanpur,204,PM2.5,5,12,153,168,902,40,0,0,0,0
119,Yerevan,282,PM2.5,13,9,240,414,2259,13,0,0,0,0
120,Tbilisi,127,PM2.5,6,1,45,70,643,14,0,0,0,0
121,Jalandhar,337,PM2.5,24,5,272,272,1022,15,0,0,0,0
122,Lille,123,PM2.5,1,1,42,55,228,46,56,28,3,0
123,Siliguri,154,PM2.5,16,2,53,75,881,16,0,0,0,0
124,Oslo,97,PM2.5,1,19,43,72,425,36,59,90,0,0
125,Jingzhou Hubei,97,PM2.5,1,19,43,72,425,36,59,90,0,0
126,Zhaoqing,68,PM2.5,16,3,15,28,587,15,0,0,0,0
127,Antwerp,79,PM2.5,0,1,29,52,595,42,150,0,1,0
128,Johor Bahru,136,PM2.5,29,1,50,58,264,14,0,0,0,0
129,Solapur,160,PM2.5,22,4,68,105,423,25,0,0,0,0
130,Teresina,55,PM2.5,25,0,15,23,112,29,0,0,0,0
131,Fuzhou Jiangxi,47,PM2.5,29,1,9,10,301,8,0,0,0,0
132,Aracaju,63,PM2.5,18,0,20,40,77,22,0,0,0,0
133,Leshan,109,PM2.5,0,3,37,58,608,22,0,0,0,0
