,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Quanzhou,61,PM2.5,47,3,17,28,349,7,1,9,0,0
1,Palembang,85,PM2.5,28,1,28,46,281,23,0,0,0,0
2,Santa Cruz,54,PM2.5,27,0,15,35,248,31,3,10,0,0
3,Gaziantep,168,PM2.5,4,22,76,123,1737,87,0,0,0,0
4,Sharjah,115,PM2.5,14,9,38,68,500,34,0,0,0,0
5,Phoenix,34,PM2.5,38,0,8,33,160,23,0,0,0,0
6,Lyon,60,PM2.5,22,0,20,34,139,40,12,0,0,0
7,Meerut,178,PM2.5,10,2,91,178,1042,42,6,25,0,0
8,Jiangmen,118,PM2.5,2,3,48,79,766,49,0,0,0,0
9,Can Tho,152,PM2.5,29,3,65,65,523,12,0,0,0,0
10,Raipur,179,PM2.5,7,53,124,178,928,28,0,0,0,0
11,Glasgow,38,NO2,10,1,9,15,240,41,49,87,0,0
12,Stockholm,65,PM2.5,5,0,19,34,331,24,0,0,0,0
13,Auckland,32,PM2.5,22,1,8,28,47,14,0,0,0,0
14,Jamshedpur,193,PM2.5,8,21,138,198,1936,31,12,54,7,0
15,Yinchuan,84,PM2.5,27,2,23,77,540,9,0,0,0,0
16,Jilin,127,PM2.5,22,4,45,58,634,11,0,0,0,0
17,Srinagar,66,PM2.5,31,2,15,21,435,6,2,7,0,0
18,Batam,38,PM2.5,37,2,7,18,205,8,0,0,0,0
19,Ulaanbaatar,105,PM2.5,26,13,37,37,195,12,0,0,0,0
20,Marseille,60,PM2.5,33,0,16,23,134,19,0,0,0,0
21,Makassar,53,PM2.5,30,1,13,31,224,8,0,0,0,0
22,Philadelphia,96,PM2.5,4,1,38,82,697,51,54,91,0,0
23,Qiqihaer,58,PM2.5,12,30,14,25,407,14,0,0,0,0
24,Xining,35,PM2.5,21,0,10,12,132,11,0,0,0,0
25,San Antonio,85,PM2.5,33,1,27,75,100,33,7,18,0,0
26,Calgary,38,PM2.5,32,0,10,30,240,21,1,9,0,0
27,Daejon,30,O3,32,0,2,6,146,5,2,11,0,0
28,Monrovia,49,PM2.5,23,1,12,32,262,28,4,19,0,70
29,Tiruppur,77,PM2.5,7,2,24,44,374,12,8,30,0,0
30,Munich,21,PM2.5,22,0,5,9,279,8,13,0,0,0
31,Ciudad Juarez,48,O3,40,6,9,15,146,8,0,0,0,0
32,Kananga,34,PM2.5,19,1,8,31,77,16,0,0,0,0
