,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Pachuca de Soto,55,PM2.5,43,1,14,24,102,22,0,0,0,0
1,Haimen,74,PM2.5,40,6,27,52,359,14,0,0,0,0
2,Chiclayo,37,PM2.5,26,0,9,16,77,1,0,0,0,0
3,Wuhai,99,PM2.5,3,27,32,113,1659,33,0,0,0,0
4,Hegang,99,PM2.5,3,27,32,113,1659,33,0,0,0,0
5,Sanya,37,PM2.5,36,1,9,15,115,10,0,0,0,0
6,Be'er Sheva,74,PM2.5,8,1,31,55,458,16,1,17,1,0
7,Durango,45,O3,47,2,5,7,120,3,0,0,0,0
8,Bokaro Steel City,165,PM2.5,23,8,75,124,405,17,12,45,5,0
9,Wroclaw,96,PM2.5,13,3,35,122,225,31,1,34,0,0
10,Miluo,81,PM2.5,2,1,25,36,1041,45,0,27,3,0
11,Venezia,64,PM2.5,17,0,21,53,204,39,0,27,2,0
12,Jambi,61,PM2.5,21,1,19,28,255,2,0,0,0,0
13,Safaqis,155,PM2.5,8,140,76,142,388,60,0,0,0,0
14,Belfast,80,PM2.5,19,1,27,39,144,24,13,40,0,0
15,Stuttgart,54,PM2.5,11,0,14,38,390,26,13,4,0,0
16,Verona,49,PM2.5,31,0,10,23,181,26,4,13,0,0
17,Raurkela,118,PM2.5,17,20,38,60,813,12,11,32,0,0
18,Jubayl,94,PM10,31,7,31,157,133,19,0,0,0,0
19,Riga,75,PM2.5,22,1,21,51,172,17,0,0,0,0
20,Bandar Abbas,75,PM2.5,22,1,21,51,172,17,0,0,0,0
21,Kolhapur,97,PM2.5,9,1,31,54,388,25,5,8,1,0
22,Bacolod,59,PM2.5,38,0,17,41,126,9,0,0,0,0
23,Seregno,54,NO2,3,1,10,14,1079,58,0,15,2,0
24,Ulyanovsk,54,PM2.5,19,1,12,17,136,11,0,0,0,0
25,Al-Ain,153,PM2.5,24,2,56,86,161,27,0,0,0,0
26,Bari,32,PM2.5,9,1,8,13,451,14,0,0,1,0
27,Yulin Guangxi,70,PM2.5,21,3,18,31,193,3,1,8,0,0
28,Ajmer,73,PM10,5,7,12,109,483,26,2,29,2,0
29,Kuching,51,PM2.5,12,0,11,17,321,6,0,0,0,0
30,Geneva,60,PM2.5,12,0,17,12,120,20,12,0,0,0
31,Enshi,45,PM2.5,31,0,11,26,140,32,5,18,0,0
32,Anshun,45,PM2.5,31,0,11,27,135,35,5,18,0,0
33,Colombo,45,PM2.5,31,0,11,27,135,35,5,18,0,0
34,Sihui,39,O3,43,0,8,12,179,3,0,0,0,0
35,Hanzhong,95,PM2.5,2,1,35,118,1196,19,0,0,0,0
36,Ujjain,95,PM2.5,2,1,35,118,1196,19,0,0,0,0
37,Gothenburg,63,PM2.5,13,0,18,18,138,16,0,0,0,0
38,Jinzhong,53,PM2.5,25,3,13,21,532,21,0,0,0,0
39,Patiala,169,PM2.5,5,1,95,191,1610,27,47578,34,4752,0
40,Bilaspur,151,PM2.5,6,9,45,104,865,17,33,55,5,0
41,Louisville,67,PM2.5,36,1,21,50,356,34,0,0,0,0
42,San Jose del Monte,56,PM2.5,36,0,16,28,188,26,0,0,0,0
43,Kryvyi Rih,103,PM2.5,20,3,33,38,202,12,0,0,0,0
44,Yaroslavl,64,PM2.5,9,4,19,26,179,21,0,0,0,0
45,Brighton,96,PM2.5,0,1,38,38,454,30,53,75,0,0
46,Feira De Santana,28,O3,19,1,5,8,117,4,0,0,0,0
47,Comilla,136,PM2.5,2,8,46,62,673,3,3,13,0,0
48,Tlaxcala,105,SO2,46,85,10,14,211,7,0,0,0,0
49,Siping,79,PM2.5,3,3,27,51,611,23,0,0,0,0
50,Sanhe,55,PM2.5,30,0,14,33,121,28,5,18,0,0
51,Mathura,186,PM2.5,1,7,119,163,1473,18,22,67,0,0
52,Xinmi,51,PM2.5,19,7,10,24,339,11,0,0,0,0
53,Skopje,65,PM2.5,19,3,15,18,326,7,0,0,0,0
54,Makhachkala,45,PM2.5,18,0,11,21,150,14,0,0,0,0
55,Jingjiang,123,PM2.5,2,5,41,140,1157,39,0,0,0,0
56,Shishi,65,PM2.5,37,3,18,32,320,8,0,6,0,0
57,Fuqing,58,PM2.5,24,3,18,34,168,9,1,7,0,0
58,Sanliurfa,111,PM2.5,18,4,28,45,430,14,0,0,0,0
59,Leipzig,45,PM2.5,11,0,9,21,196,11,14,4,1,0
60,Agartala,144,PM2.5,3,8,49,78,685,14,4,13,0,0
61,Xiantao,110,PM2.5,5,3,39,80,680,32,0,0,0,0
62,Yichun Heilongjiang,91,PM2.5,8,2,26,69,583,13,0,0,0,0
63,Imphal,96,PM2.5,3,9,28,75,372,10,2,5,0,0
64,Daye,22,O3,32,0,5,14,168,11,0,0,0,0
65,Cenxi,86,PM2.5,3,2,25,37,391,6,0,0,0,0
66,Kingston,31,O3,34,0,8,28,127,14,0,0,0,0
67,Sangli,99,PM2.5,6,1,38,64,379,21,3,8,1,0
68,Cuiaba,59,PM2.5,11,0,18,27,267,23,0,0,0,0
69,Malaga,58,PM2.5,19,1,20,27,288,31,4,24,0,0
70,Ibague,38,PM2.5,30,0,8,15,201,7,0,0,0,0
71,Dortmund,40,PM2.5,3,2,9,17,139,22,2,2,0,0
72,Kagoshima,27,PM2.5,27,1,6,10,200,9,4,13,0,50
73,Cabimas,43,O3,28,3,7,13,149,8,0,0,0,0
74,Qitaihe,18,PM2.5,19,0,5,5,126,10,0,0,0,0
75,Milwaukee,59,PM2.5,12,1,18,36,363,33,1,0,0,0
76,Catania,23,NO2,13,4,4,4,991,25,0,0,4,0
77,Samut Sakhon,23,NO2,13,4,4,4,991,25,0,0,4,0
78,Shuozhou,31,O3,36,1,8,13,144,17,2,7,0,0
79,Tonghua,87,PM2.5,5,6,31,38,580,13,0,0,0,0
80,Essen,47,PM2.5,8,2,12,19,169,23,4,0,0,0
81,Toulon,57,PM2.5,9,1,16,22,170,32,56,89,3,0
82,Dresden,23,PM2.5,20,0,5,10,223,0,5,7,1,0
83,Juiz De Fora,34,O3,36,1,8,12,133,4,0,0,0,0
84,Pereira,68,PM2.5,26,0,20,26,210,15,0,0,0,0
85,Udaipur,155,PM2.5,11,3,55,78,354,15,8,38,1,0
86,Sanmenxia,67,PM2.5,1,3,19,37,422,29,0,0,0,0
87,Vellore,135,PM2.5,10,5,47,75,680,8,5,15,1,0
88,Dongyang,34,O3,37,0,6,11,166,2,0,0,0,0
89,Thoothukkudi,94,PM2.5,2,6,30,85,79,10,4,14,3,0
90,Bloemfontein,42,PM2.5,21,1,10,15,229,5,0,0,0,0
91,Xinyi,86,PM2.5,18,3,34,69,274,21,1,9,0,0
92,Udon Thani,129,PM2.5,28,4,42,42,338,3,0,0,0,0
93,Jalgaon,160,PM2.5,26,8,75,108,517,12,2,13,4,0
94,Hebi,105,PM2.5,1,2,37,148,873,24,0,0,0,0
95,Zaoyang,102,PM2.5,3,5,37,64,610,27,0,0,0,0
96,Yiyang Hunan,166,PM2.5,23,6,79,163,580,11,5,15,3,0
97,Gaya,186,PM2.5,29,4,103,150,1262,4,4,7,5,0
98,Baltimore,53,PM2.5,29,1,13,41,199,37,3,12,0,0
99,Tirunelveli,85,PM2.5,4,3,26,78,147,9,3,13,2,0
100,Zhaodong,89,PM2.5,11,4,30,40,633,15,0,0,0,0
101,Dengfeng,104,PM2.5,3,4,37,87,516,31,0,0,0,0
102,Matamoros,41,PM2.5,38,0,11,18,108,7,0,0,0,0
103,Kitchener,28,O3,30,1,7,31,280,21,23,45,0,0
104,Poza Rica de Hidalgo,49,PM2.5,34,10,11,17,145,4,0,0,0,0
105,Oujda,24,PM2.5,20,2,6,10,129,5,0,0,0,0
106,Santa Fe,26,O3,24,0,4,5,92,3,0,0,0,0
107,Orenburg,61,PM2.5,15,0,15,35,138,28,0,0,0,0
108,Cangzhou,88,PM2.5,4,4,31,68,620,32,0,0,0,0
109,Jiaozhou,74,PM2.5,20,0,23,39,334,20,2,9,0,0
110,Bremen,63,PM2.5,17,0,19,26,192,25,2,10,0,0
111,Weinan,114,PM2.5,3,6,41,127,444,25,0,0,0,0
112,Anyang,118,PM2.5,1,2,41,90,1220,23,0,0,0,0
113,Mazar-e Sharif,118,PM2.5,1,2,41,90,1220,23,0,0,0,0
114,Kota Kinabalu,19,O3,20,0,4,7,153,3,0,0,0,0
115,Basel,64,PM2.5,4,1,18,24,166,21,1,4,0,0
116,Gomel,64,PM2.5,4,1,18,24,166,21,1,4,0,0
117,Albuquerque,65,PM10,38,1,13,54,27,15,3,9,0,0
118,Gaozhou,94,PM2.5,17,23,37,66,1474,17,0,0,0,0
119,Feicheng,68,PM2.5,27,0,23,43,133,39,6,21,0,0
120,Meknes,46,PM2.5,19,3,11,15,147,9,0,0,0,0
121,Panipat,182,PM10,17,14,83,296,1652,7,13,27,1,0
122,Kahramanmaras,184,PM2.5,6,20,124,168,2502,99,0,0,0,0
123,Irbid,51,PM2.5,24,1,13,36,451,7,1,11,1,0
124,Arak,73,PM2.5,20,5,22,36,183,4,4,9,1,0
125,Tepic,44,O3,49,0,6,10,150,2,0,0,0,0
126,Chiang Rai,159,PM2.5,20,1,51,79,311,14,0,0,0,0
127,Guangyuan,101,PM2.5,2,1,32,57,701,19,0,0,0,0
128,Leicester,78,PM2.5,2,2,24,30,367,37,41,68,0,0
129,Tongchuan,86,PM2.5,2,4,24,48,434,24,0,0,0,0
130,Khamis Mushayt,65,PM2.5,29,2,10,25,105,3,0,0,0,0
131,Tucson,58,PM2.5,45,0,14,47,108,11,0,0,0,0
132,Imus,47,PM2.5,38,0,10,17,194,4,0,0,0,0
133,Villavicencio,51,PM2.5,23,0,12,34,149,12,0,0,0,0
134,Sakarya,69,PM2.5,6,20,16,38,1330,32,0,0,0,0
135,Shouguang,102,PM2.5,3,6,31,69,874,29,0,0,0,0
136,Utrecht,57,PM2.5,9,0,14,14,201,13,2,0,0,0
137,Rajahmundry,123,PM2.5,6,3,34,77,271,13,2,15,2,0
138,Larkana,187,PM2.5,21,7,115,169,763,8,0,0,0,0
139,Basilan City,30,O3,33,0,4,6,123,0,0,0,0,0
140,Valledupar,53,PM2.5,27,0,14,29,120,10,0,0,0,0
141,Chaoyang,92,PM2.5,9,11,25,65,656,17,0,0,0,0
142,Uige,92,PM2.5,9,11,25,65,656,17,0,0,0,0
143,Sukkur,173,PM2.5,30,10,89,131,620,5,0,0,0,0
144,Rayong,98,PM2.5,39,2,34,66,216,15,0,0,0,0
145,Kerman,124,PM2.5,32,1,46,97,496,26,4,18,0,199
146,Abeokuta,124,PM2.5,32,1,46,97,496,26,4,18,0,199
147,Mekele,52,PM2.5,29,1,13,22,188,1,0,0,0,0
148,Yongkang,97,PM2.5,24,2,33,74,222,24,1,13,0,0
149,Edinburgh,26,PM2.5,32,0,3,6,122,11,12,24,0,0
150,Haining,28,O3,31,0,2,19,199,6,3,10,0,0
151,San Juan,26,O3,31,0,6,23,82,0,0,0,0,0
152,Ryazan,43,PM2.5,23,3,10,14,150,12,0,0,0,0
153,Vilnius,72,PM2.5,3,3,22,42,156,32,0,11,0,0
154,Taishan,78,PM2.5,26,1,25,49,145,17,4,12,0,0
155,Calamba,36,O3,38,0,9,16,172,4,0,0,0,0
156,Mesa,57,PM2.5,45,1,15,59,204,30,2,0,0,0
157,Hannover,18,PM2.5,13,1,4,6,83,4,5,5,0,0
158,Fresno,154,PM2.5,35,1,54,109,519,32,5,24,0,742
159,Chuzhou,129,PM2.5,0,2,48,83,521,20,0,0,0,0
160,Pingdu,45,PM2.5,29,0,12,25,116,25,6,19,0,0
161,Qingzhou,154,PM2.5,22,4,70,111,251,16,1,11,0,0
162,Longkou,104,PM2.5,3,4,35,80,998,20,0,0,0,0
163,Naberezhnye Tchelny,35,PM2.5,12,2,9,16,146,11,0,0,0,0
164,Astrakhan,51,PM2.5,23,0,14,20,137,12,0,0,0,0
165,Santa Marta,51,PM2.5,23,0,14,20,137,12,0,0,0,0
166,Ambon,18,PM2.5,19,0,4,7,99,0,0,0,0,0
167,Bellary,79,PM2.5,20,7,21,46,718,9,22,40,0,0
168,Pietermaritzburg,85,PM2.5,6,8,36,36,178,26,0,0,0,0
169,Rustenburg,85,PM2.5,6,8,36,36,178,26,0,0,0,0
170,Heyuan,88,PM2.5,11,2,37,82,195,29,1,8,0,0
171,Yanshi,70,PM2.5,28,1,19,43,480,17,0,0,1,0
172,Al-Raqqa,60,PM2.5,3,20,15,58,159,40,0,0,0,0
173,Surakarta,60,PM2.5,3,20,15,58,159,40,0,0,0,0
174,Dali,59,PM2.5,6,2,16,28,377,8,2,11,0,0
175,Sheikhupura,236,PM2.5,20,3,189,379,1903,46,8,53,2,0
176,Changning,25,O3,27,0,4,7,130,2,0,0,0,0
177,Grenoble,68,PM2.5,1,2,21,33,237,29,41,21,0,0
178,Puerto Vallarta,40,O3,43,0,6,10,140,0,0,0,0,0
179,Balashikha,79,PM2.5,3,1,21,21,334,27,48,0,0,0
180,Angeles City,38,PM2.5,31,0,10,16,197,3,0,0,0,0
181,Gombe,38,PM2.5,31,0,10,16,197,3,0,0,0,0
182,Hosur,154,PM2.5,8,3,52,108,1309,17,6,34,1,0
183,Poznan,89,PM2.5,11,7,34,41,406,19,0,1,0,0
184,Gongyi,48,PM2.5,28,0,12,36,114,34,6,19,0,0
185,Van,146,PM2.5,8,10,60,96,1668,29,0,0,0,0
186,Gaoyou,143,PM2.5,1,3,55,108,1079,31,0,0,0,0
187,Shizuishan,108,PM2.5,0,13,34,135,1568,33,0,0,0,0
188,Ar-Rusayfah,152,PM2.5,0,70,58,104,221,71,0,0,0,0
189,Vale do Aco,56,PM2.5,30,2,17,18,229,21,0,0,0,0
190,Cuautla Morelos,179,O3,94,60,32,45,401,3,0,0,0,0
191,Sacramento,74,PM2.5,20,0,23,39,334,20,2,9,0,0
192,Kalasin,95,PM2.5,39,5,29,62,292,6,0,0,0,0
193,Shangyu,29,PM2.5,32,0,7,26,313,18,4,14,0,0
194,Atlanta,57,PM2.5,43,2,14,39,389,29,14,30,0,0
195,Al-Mahallah al-Kubra,102,PM2.5,3,20,33,89,244,45,0,0,0,0
196,Loum,44,PM2.5,30,0,9,25,124,26,3,13,0,0
197,Laixi,27,PM2.5,16,1,8,8,153,6,0,0,0,0
198,Kakinada,117,PM2.5,7,3,34,75,265,12,2,14,2,0
199,Rupganj,154,PM2.5,2,9,55,68,700,8,4,13,0,0
200,Penza,47,PM2.5,20,1,4,7,135,1,0,0,0,0
201,Utsunomiya,51,PM2.5,8,0,11,45,209,31,0,10,0,120
202,Porto Velho,42,PM2.5,18,3,11,16,173,4,0,0,0,0
203,Davanagere,78,PM2.5,12,2,24,28,402,7,35,57,0,0
204,Qianjiang,119,PM2.5,6,4,44,76,775,33,0,0,0,0
205,Chuxiong,104,PM2.5,1,4,37,41,611,12,0,0,0,0
206,Songyuan,72,PM2.5,15,6,22,33,442,8,0,0,0,0
207,Duisburg,33,PM2.5,8,2,7,17,321,5,2,0,0,0
208,Nakhon Pathom,156,PM2.5,19,5,46,81,698,34,0,0,0,0
209,Muzaffarpur,340,PM10,4,2,271,388,1114,36,3,24,4,0
210,Mataram,43,PM2.5,37,0,11,16,296,2,0,0,0,0
211,Changge,113,PM2.5,3,4,40,104,665,33,0,0,0,0
212,Kirov,61,PM2.5,17,2,16,51,135,58,0,0,0,0
213,Kuantan,54,PM2.5,34,0,13,21,236,1,0,0,0,0
214,Ziyang,118,PM2.5,2,2,38,115,628,17,0,0,0,0
215,Xingning,66,PM2.5,5,5,19,38,443,25,0,0,0,0
216,Kandahar,28,O3,30,0,4,11,130,7,3,14,0,0
217,Nurenberg,46,PM2.5,6,0,12,14,269,7,5,0,0,0
218,London CA,28,O3,34,1,2,8,297,13,23,45,0,0
219,Bournemouth,57,PM2.5,7,1,17,42,182,32,49,76,0,0
220,Jinjiang,36,O3,42,3,7,16,179,3,1,6,0,0
221,Khon-Kaen,104,PM2.5,34,4,31,49,325,9,0,0,0,0
222,Cheboksary,57,PM2.5,17,1,16,17,136,11,0,0,0,0
