,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,32,PM2.5,13,0,7,7,134,22,8,30,0,0
1,Thessaloniki,69,PM2.5,33,2,20,80,139,18,0,0,1,0
2,Bologna,102,PM2.5,18,1,37,65,483,44,6,23,1,0
3,Barcelona-Puerto La Cruz,27,O3,31,0,4,10,176,8,3,11,1,0
4,Cherthala,74,PM2.5,6,5,23,59,817,32,20,29,0,0
5,Quzhou,118,PM2.5,43,3,44,87,622,27,0,0,0,0
6,Sorocaba,73,PM2.5,44,1,25,41,348,32,0,0,0,0
7,Nottingham,56,PM2.5,21,1,16,31,160,45,35,60,0,0
8,Xalapa,39,PM2.5,28,7,10,14,189,4,0,0,0,0
9,Frankfurt,71,PM2.5,4,0,23,41,266,32,41,17,1,0
10,Nakhon Ratchasima,123,PM2.5,33,1,38,70,660,35,0,0,0,0
11,Vereeniging,53,PM2.5,36,1,13,32,236,32,4,10,0,0
12,Seattle,37,PM2.5,18,0,9,52,229,17,2,9,0,0
13,Bozhou,93,PM2.5,40,1,39,106,189,11,0,0,0,0
14,Nellore,156,PM2.5,23,5,63,103,661,42,6,17,1,0
15,Hamilton,53,PM2.5,8,1,17,69,460,35,5,44,0,0
16,Cagayan de Oro City,69,PM2.5,33,0,9,14,164,3,0,0,0,0
17,Krakow,153,PM2.5,1,2,47,56,413,25,0,56,1,0
18,Gorakhpur,121,PM2.5,2,7,42,125,787,11,2,90,0,0
19,Dasmarinas,65,PM2.5,32,1,12,30,212,14,0,0,0,0
20,Ar-Rayyan,64,PM2.5,23,2,17,53,122,13,0,0,0,0
21,Cuttack,107,PM2.5,2,8,41,58,621,29,0,0,0,0
22,Denver,36,PM2.5,25,0,9,27,257,26,1,32,0,0
23,Qingyuan,95,PM2.5,20,2,23,88,299,33,1,19,0,0
24,Banjarmasin,55,PM2.5,13,1,13,20,338,9,0,0,0,0
25,Kottayam,85,PM2.5,8,4,34,76,857,20,19,28,0,0
26,Belgaum,52,PM2.5,16,0,9,14,247,11,12,2,1,0
27,Sheffield,39,PM2.5,21,1,9,24,136,28,22,41,0,0
28,Gaza,119,PM2.5,42,1,38,168,406,9,0,9,1,0
29,Zaragoza,40,PM2.5,31,2,9,13,153,20,5,12,0,0
30,Zaporizhzhya,141,PM2.5,24,6,45,61,335,30,0,0,0,0
31,Malegaon,166,PM2.5,53,8,83,122,465,16,2,30,0,0
32,Sao Jose dos Campos,69,PM2.5,42,2,19,48,101,24,0,0,0,0
33,Mangalore,87,PM2.5,5,2,28,78,231,74,2,82,0,0
34,Okayama,67,PM2.5,6,3,19,52,679,50,4,27,0,188
35,Ribeirao Preto,67,PM2.5,47,1,22,34,118,14,0,0,0,0
36,Xianyang Shaanxi,67,PM2.5,47,1,22,34,118,14,0,0,0,0
37,Bunia,16,O3,17,0,3,4,134,1,0,0,0,0
38,Lviv,89,PM2.5,9,2,30,39,247,34,0,18,2,0
39,Tongliao,88,PM2.5,12,3,37,54,264,21,0,0,0,0
40,Sialkot,118,PM2.5,11,3,46,69,1071,25,6,19,0,0
41,Buffalo City,67,PM2.5,25,0,21,40,73,37,0,0,0,0
42,Suining Sichuan,67,PM2.5,25,0,21,40,73,37,0,0,0,0
43,Oaxaca de Juarez,59,PM2.5,35,1,16,19,167,8,0,0,0,0
44,Washington,51,PM2.5,21,1,12,42,335,31,39,73,0,0
45,Sargodha,97,PM2.5,25,2,40,56,484,11,0,0,0,0
46,Bhavnagar,164,PM2.5,18,10,97,207,777,52,11,42,7,0
47,Gold Coast,40,PM2.5,12,1,10,39,68,18,0,0,0,0
48,Florence,52,PM2.5,6,1,17,46,415,26,7,39,0,0
49,Jammu,57,PM2.5,13,1,15,54,696,47,54,90,0,0
50,Yulin Shaanxi,57,PM2.5,13,1,15,54,696,47,54,90,0,0
51,Nanded Waghala,109,PM2.5,38,13,47,114,979,28,17,45,3,0
52,Tirupati,166,PM2.5,13,2,76,109,1187,21,10,27,2,0
53,Bacoor,40,PM2.5,32,1,8,12,214,7,0,0,0,0
54,The Hague,127,PM2.5,3,1,51,75,207,39,15,0,2,0
55,Seville,72,PM2.5,27,2,19,31,387,23,4,12,0,0
56,Dongtai,159,PM2.5,19,4,82,107,995,46,0,0,0,0
57,Bali,65,PM2.5,17,0,18,39,231,18,0,0,0,0
58,Boston,51,PM2.5,16,0,14,48,347,44,12,38,0,0
59,Yuxi,138,PM2.5,14,3,50,73,717,25,0,0,0,0
60,Bristol,32,O3,36,0,7,11,249,10,3,15,0,0
61,Cheonan,151,PM2.5,4,3,58,80,773,29,2,10,0,0
62,Jundiai,66,PM2.5,45,1,20,45,335,21,0,0,0,0
63,Gulbarga,140,PM2.5,45,6,65,65,999,3,3,5,0,0
64,Padova,48,PM2.5,12,1,13,19,286,23,0,46,2,0
65,Durgapur,73,PM2.5,9,17,24,75,830,11,19,44,5,0
66,Kurnool,135,PM2.5,31,5,57,95,580,16,2,16,0,0
67,El Paso,48,PM10,5,0,11,71,300,22,12,26,0,0
68,Nantes,68,PM2.5,11,0,23,41,129,22,31,10,0,0
69,Zagreb,87,PM2.5,9,6,25,62,433,51,0,0,2,0
70,Nashville,46,PM2.5,30,0,13,34,132,12,0,0,0,0
71,Genoa,76,PM2.5,21,1,22,28,425,28,0,10,2,0
72,Ezhou,63,PM2.5,2,1,22,55,418,39,8,33,0,0
73,Santiago,74,PM2.5,9,2,24,73,554,43,0,0,0,0
74,Mar Del Plata,38,PM2.5,19,0,11,17,69,5,0,0,0,0
75,Lodz,85,PM2.5,4,1,29,46,429,26,0,32,2,0
76,Oklahoma City,47,PM2.5,30,0,12,49,288,18,0,2,0,0
77,Las Vegas,47,PM2.5,16,1,11,39,259,40,44,0,0,0
78,General Santos City,52,PM2.5,17,0,10,15,293,6,0,0,0,0
79,Detroit,58,PM2.5,16,1,16,46,192,19,0,0,0,0
80,Manama,103,PM2.5,43,14,40,61,176,37,0,0,0,0
81,Portland,103,PM2.5,43,14,40,61,176,37,0,0,0,0
82,Macao,89,O3,21,3,24,64,605,45,0,0,0,0
83,Zhoushan,30,PM2.5,31,0,6,25,129,15,0,0,0,0
84,Jhansi,140,PM2.5,7,5,49,113,992,47,15,38,0,0
85,Memphis,51,PM2.5,32,1,15,29,141,15,0,0,0,0
86,Doha,154,PM2.5,21,26,68,84,189,60,0,0,0,0
87,Chiclayo,21,PM2.5,22,0,5,8,66,0,0,0,0,0
88,Wuhai,69,PM10,13,11,22,103,522,30,0,0,0,0
89,Be'er Sheva,56,PM2.5,41,1,8,44,314,8,1,10,0,0
90,Durango,21,O3,20,0,4,6,200,7,0,0,0,0
91,Bokaro Steel City,108,PM2.5,11,8,42,90,1133,22,15,52,4,0
92,Wroclaw,138,PM2.5,3,3,51,69,400,30,1,25,1,0
93,Jambi,51,PM2.5,9,1,14,20,261,12,0,0,0,0
94,Duesseldorf,72,PM2.5,3,1,24,64,207,41,54,4,1,0
95,Belfast,55,PM2.5,32,1,15,24,86,26,3,9,0,0
96,Stuttgart,70,PM2.5,20,1,20,61,290,29,46,9,0,0
97,Riga,86,PM2.5,7,2,30,44,209,17,0,0,0,0
98,Kolhapur,108,PM2.5,20,1,45,81,527,40,7,19,1,0
99,Bacolod,59,PM2.5,33,1,15,38,143,9,0,0,0,0
100,Ulyanovsk,71,PM2.5,13,2,22,29,157,26,0,0,0,0
101,Al-Ain,112,PM2.5,47,3,35,107,174,29,0,0,0,0
102,Bari,25,O3,30,1,3,4,160,5,0,0,1,0
103,Yulin Guangxi,80,PM2.5,11,2,25,56,239,15,1,12,0,0
104,Ajmer,124,PM2.5,15,5,44,143,1030,50,6,65,3,0
105,Kuching,111,PM2.5,5,1,25,35,689,27,0,0,0,0
106,Bissau,111,PM2.5,5,1,25,35,689,27,0,0,0,0
107,Geneva,57,PM2.5,14,0,18,13,167,9,12,2,0,0
108,Anshun,67,PM2.5,8,1,22,70,674,53,75,112,0,0
109,Colombo,55,PM2.5,32,0,14,30,96,20,0,0,0,0
110,Ujjain,182,PM2.5,35,2,112,199,1099,46,5,23,0,0
111,Gothenburg,62,PM2.5,8,0,15,30,173,34,0,0,0,0
112,Patiala,159,PM2.5,6,2,81,188,818,29,2805,11,2253,0
113,Bilaspur,130,PM2.5,10,5,58,106,575,12,13,38,3,0
114,Louisville,62,PM2.5,21,0,21,42,220,21,0,0,0,0
115,San Jose del Monte,52,PM2.5,35,1,13,21,176,25,0,0,0,0
116,Yaroslavl,60,PM2.5,23,2,15,23,174,26,0,0,0,0
