,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,33,PM2.5,11,1,7,15,159,30,3,33,0,0
1,Thessaloniki,76,PM2.5,10,2,31,68,156,16,0,0,6,0
2,Bologna,88,PM2.5,10,1,30,44,506,42,11,23,1,0
3,Barcelona-Puerto La Cruz,81,PM2.5,3,0,24,30,220,24,6,30,1,0
4,Cherthala,141,PM2.5,107,4,50,87,402,17,0,0,0,0
5,Quzhou,33,PM2.5,26,1,7,19,603,10,0,0,0,0
6,Sorocaba,80,PM2.5,18,1,25,29,490,12,0,0,2,0
7,Nottingham,37,PM2.5,18,1,13,18,169,32,20,38,0,0
8,Xalapa,30,O3,27,1,4,6,198,3,0,0,0,0
9,Frankfurt,51,PM2.5,14,1,12,17,212,22,2,14,1,0
10,Nakhon Ratchasima,70,PM2.5,48,1,18,35,380,10,0,0,0,0
11,Vereeniging,53,PM2.5,34,9,13,34,197,34,3,10,1,0
12,Seattle,33,PM2.5,33,0,7,20,189,18,3,12,0,0
13,Bozhou,111,PM2.5,37,1,43,79,167,15,0,0,0,0
14,Nellore,108,PM2.5,19,2,43,91,514,26,8,19,0,0
15,Hamilton,27,O3,30,0,5,5,190,2,0,2,0,0
16,Cagayan de Oro City,90,PM2.5,25,0,39,52,154,14,0,0,0,0
17,Krakow,152,PM2.5,4,5,64,75,988,28,0,56,2,0
18,Gorakhpur,160,PM2.5,26,6,69,110,742,13,2,26,0,0
19,Dasmarinas,86,PM2.5,27,1,33,42,194,31,0,0,0,0
20,Ar-Rayyan,60,PM2.5,46,3,18,57,140,3,0,0,0,0
21,Cuttack,171,PM2.5,54,11,98,140,557,15,0,0,0,0
22,Denver,43,PM2.5,24,0,10,18,387,34,0,3,0,0
23,Qingyuan,92,PM2.5,52,2,29,98,279,28,1,9,0,0
24,Banjarmasin,55,PM2.5,18,1,19,39,259,20,0,0,0,0
25,Kottayam,128,PM2.5,18,12,47,90,943,21,14,36,0,0
26,Belgaum,22,PM2.5,15,0,6,8,246,10,6,2,1,0
27,Sheffield,27,PM2.5,23,1,6,7,131,13,4,12,0,0
28,Gaza,122,PM10,25,0,32,214,741,12,5,17,1,0
