,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,50,PM2.5,24,1,13,16,143,22,8,24,0,0
1,Thessaloniki,103,PM2.5,20,2,36,55,222,22,0,0,6,0
2,Bologna,93,PM2.5,14,1,29,41,547,36,17,31,1,0
3,Barcelona-Puerto La Cruz,58,PM2.5,26,0,18,18,176,7,4,11,1,0
4,Cherthala,111,PM2.5,8,6,33,49,953,7,16,25,0,0
5,Quzhou,51,PM2.5,19,1,14,34,507,12,0,0,0,0
6,Sorocaba,79,PM2.5,52,1,23,27,115,22,0,0,0,0
7,Nottingham,51,PM2.5,27,1,14,23,136,19,9,17,0,0
8,Xalapa,24,O3,33,0,6,8,158,2,0,0,0,0
9,Frankfurt,53,PM2.5,13,0,12,26,274,36,5,21,1,0
10,Nakhon Ratchasima,68,PM2.5,33,1,20,40,410,11,0,0,0,0
11,Vereeniging,54,PM2.5,28,1,14,29,260,33,2,9,0,0
12,Seattle,37,PM10,28,0,8,45,248,20,3,13,0,0
13,Bozhou,131,PM2.5,34,1,48,105,114,14,0,0,0,0
14,Nellore,107,PM2.5,20,3,43,90,506,25,6,17,0,0
15,Hamilton,30,O3,34,0,7,28,254,12,0,3,0,0
16,Cagayan de Oro City,51,PM2.5,13,0,11,16,186,6,0,0,0,0
17,Krakow,148,PM2.5,14,3,55,75,912,26,0,68,3,0
18,Gorakhpur,143,PM2.5,7,6,52,232,598,15,2,0,0,0
19,Dasmarinas,58,PM2.5,32,0,19,28,132,21,0,0,0,0
20,Ar-Rayyan,60,PM2.5,24,1,15,38,152,14,0,0,0,0
21,Cuttack,180,PM2.5,38,12,114,164,702,12,0,0,0,0
22,Denver,41,NO2,8,0,10,22,520,44,0,15,0,0
23,Qingyuan,124,PM2.5,20,1,43,76,325,46,1,19,0,0
24,Banjarmasin,51,PM2.5,16,1,12,18,253,6,0,0,0,0
25,Kottayam,126,PM2.5,11,5,43,70,922,16,14,28,0,0
26,Belgaum,28,PM2.5,9,1,7,8,308,15,11,3,1,0
27,Sheffield,33,PM2.5,30,1,10,18,131,12,4,11,0,0
28,Gaza,103,PM10,9,0,33,151,1236,28,2,30,1,0
29,Zaragoza,51,PM2.5,30,2,14,16,131,8,4,12,0,0
30,Zaporizhzhya,140,PM2.5,23,4,46,72,249,23,0,0,0,0
31,Malegaon,156,PM2.5,17,5,64,87,805,25,2,16,2,0
32,Sao Jose dos Campos,68,PM2.5,39,0,19,29,2,19,0,0,0,0
33,Mangalore,153,PM2.5,12,2,70,70,210,32,9,28,0,0
34,Okayama,68,PM2.5,33,3,21,49,394,28,0,8,0,44
35,Ribeirao Preto,56,PM2.5,41,0,15,32,112,11,0,0,0,0
36,Xianyang Shaanxi,56,PM2.5,41,0,15,32,112,11,0,0,0,0
37,Bunia,20,PM2.5,20,0,5,8,138,0,0,0,0,0
38,Lviv,70,PM2.5,20,1,21,29,202,30,0,9,0,0
39,Tongliao,69,PM2.5,31,3,20,24,89,8,0,0,0,0
40,Sialkot,177,PM2.5,7,4,122,126,814,18,8,21,1,0
41,Buffalo City,68,PM2.5,25,0,19,46,83,35,0,0,0,0
42,Suining Sichuan,68,PM2.5,25,0,19,46,83,35,0,0,0,0
43,Oaxaca de Juarez,41,O3,45,0,12,14,125,7,0,0,0,0
44,Washington,33,PM2.5,29,1,8,28,202,17,2,4,0,0
45,Sargodha,173,PM2.5,16,3,108,137,1124,19,0,0,0,0
46,Bhavnagar,163,PM2.5,17,30,69,133,636,26,8,29,6,0
47,Gold Coast,37,PM2.5,18,1,9,18,56,11,0,0,0,0
48,Florence,29,O3,33,0,4,7,274,4,0,3,0,0
49,Jammu,35,PM2.5,36,0,7,11,171,11,2,7,0,0
50,Yulin Shaanxi,35,PM2.5,36,0,7,11,171,11,2,7,0,0
51,Nanded Waghala,147,PM2.5,11,11,60,117,192,10,12,22,0,0
52,Tirupati,76,PM2.5,11,2,23,28,805,11,8,19,0,0
53,Bacoor,26,O3,32,0,5,9,133,3,0,0,0,0
54,The Hague,50,PM2.5,20,0,10,41,149,44,18,0,2,0
55,Seville,85,PM2.5,23,2,28,38,509,24,9,19,0,0
56,Dongtai,63,PM2.5,22,3,18,40,569,13,0,0,0,0
57,Bali,40,PM2.5,18,0,5,9,148,2,0,0,0,0
58,Boston,31,PM10,34,0,6,31,214,10,3,8,0,0
59,Yuxi,26,PM2.5,16,2,5,11,646,7,0,0,0,0
60,Bristol,30,O3,35,0,2,4,169,1,1,3,0,0
61,Cheonan,112,PM2.5,9,2,45,63,811,20,3,10,0,0
62,Jundiai,77,PM2.5,51,1,23,58,114,15,0,0,0,0
63,Gulbarga,128,PM2.5,14,6,45,98,620,49,7,53,0,0
64,Padova,66,PM2.5,12,1,22,29,380,26,0,48,1,0
65,Durgapur,184,PM10,18,0,86,330,1543,15,8,38,7,0
66,Kurnool,89,PM2.5,32,1,31,37,300,9,5,25,6,0
67,El Paso,60,PM2.5,12,1,18,64,600,24,75,97,0,0
68,Nantes,64,PM2.5,16,0,18,26,132,29,2,3,0,0
69,Zagreb,104,PM2.5,4,0,40,40,262,27,0,0,1,0
70,Nashville,72,PM2.5,24,1,26,33,140,15,0,0,0,0
71,Genoa,80,PM2.5,29,3,30,41,387,32,0,10,1,0
72,Ezhou,27,O3,31,0,5,31,226,8,0,2,0,0
73,Santiago,48,PM2.5,20,2,14,33,394,31,0,0,0,0
74,Mar Del Plata,41,PM2.5,32,0,10,20,94,8,0,0,0,0
75,Lodz,154,PM2.5,11,4,67,77,647,26,0,26,2,0
76,Oklahoma City,42,PM2.5,25,1,10,34,151,18,0,0,0,0
77,Las Vegas,63,PM2.5,2,2,16,53,687,45,121,0,0,0
78,General Santos City,22,O3,21,0,6,8,148,2,0,0,0,0
79,Detroit,42,PM10,20,1,8,52,145,19,0,0,0,0
80,Manama,153,PM2.5,55,18,65,97,179,36,0,0,0,0
81,Portland,33,PM2.5,29,1,8,29,35,14,0,5,0,0
82,Macao,128,PM2.5,39,4,48,125,843,20,0,0,0,0
83,Zhoushan,65,PM2.5,24,1,17,23,137,15,0,0,0,0
84,Jhansi,94,PM2.5,14,7,33,66,877,32,2,19,0,0
85,Memphis,64,PM2.5,2,1,20,31,167,22,0,0,0,0
86,Doha,158,PM2.5,40,14,72,122,218,35,0,0,0,0
87,Chiclayo,30,PM2.5,27,0,8,12,73,0,0,0,0,0
88,Wuhai,97,PM2.5,3,26,21,131,1141,38,0,0,0,0
89,Be'er Sheva,126,PM2.5,19,2,51,147,851,10,1,10,0,0
90,Durango,22,O3,43,1,5,9,115,1,0,0,0,0
91,Bokaro Steel City,162,PM2.5,1,0,77,77,23,1,0,62,0,0
92,Wroclaw,129,PM2.5,2,7,54,114,1055,60,1,100,3,0
93,Venezia,88,PM2.5,13,0,32,51,337,45,0,29,0,0
94,Jambi,43,PM2.5,17,1,10,15,178,6,0,0,0,0
95,Duesseldorf,62,PM2.5,6,1,20,29,173,42,48,4,1,0
96,Belfast,58,PM2.5,22,1,13,23,92,31,3,14,0,0
97,Stuttgart,35,PM2.5,23,1,8,37,350,38,18,7,0,0
98,Riga,140,PM2.5,7,1,48,76,256,39,0,0,0,0
99,Kolhapur,115,PM2.5,36,2,42,82,395,19,10,21,0,0
100,Bacolod,47,PM2.5,23,0,11,30,111,9,0,0,0,0
101,Ulyanovsk,68,PM2.5,23,2,19,19,148,19,0,0,0,0
102,Al-Ain,154,PM2.5,28,4,58,104,214,31,0,0,0,0
103,Bari,29,PM2.5,14,0,7,9,253,10,0,1,0,0
104,Yulin Guangxi,67,PM2.5,25,2,14,23,310,9,1,10,0,0
105,Ajmer,116,PM2.5,9,5,39,201,1712,54,4,62,13,0
106,Kuching,48,PM2.5,19,1,8,12,256,6,0,0,0,0
107,Geneva,62,PM2.5,18,1,16,11,254,14,2,4,0,0
108,Anshun,34,PM2.5,35,0,8,22,151,17,3,7,0,0
109,Colombo,62,PM2.5,55,1,17,35,134,20,0,0,0,0
110,Ujjain,167,PM2.5,34,1,89,183,873,33,4,23,1,0
111,Gothenburg,74,PM2.5,8,0,24,37,204,34,0,0,0,0
112,Patiala,168,PM2.5,5,1,88,197,1492,41,20752,32,4920,0
113,Bilaspur,161,PM2.5,8,4,74,148,990,13,47,78,7,0
114,Louisville,161,PM2.5,8,4,74,148,990,13,47,78,7,0
115,San Jose del Monte,49,PM2.5,34,0,13,24,105,22,0,0,0,0
116,Yaroslavl,66,PM2.5,19,6,19,42,189,29,0,0,0,0
117,Brighton,62,PM2.5,29,0,14,16,248,19,18,37,0,0
118,Feira De Santana,25,O3,32,1,6,10,84,1,0,0,0,0
119,Comilla,237,PM2.5,1,8,220,220,852,8,4,21,0,0
120,Mathura,156,PM2.5,1,10,67,196,2791,28,73,162,567,0
121,Skopje,60,PM2.5,19,3,18,20,421,9,0,0,0,0
122,Leipzig,39,PM2.5,18,0,9,16,220,14,13,7,1,0
123,Agartala,228,PM2.5,1,8,210,210,864,19,4,22,0,0
124,Kingston,58,PM2.5,31,1,15,32,146,13,0,0,0,0
125,Sangli,151,PM2.5,34,3,63,86,393,26,10,21,0,0
126,Malaga,67,PM2.5,36,1,15,41,580,27,4,14,0,0
127,Ibague,46,PM2.5,47,0,12,17,214,2,0,0,0,0
128,Dortmund,36,PM2.5,16,1,10,17,250,26,6,3,0,0
129,Kagoshima,64,PM2.5,41,1,19,19,200,4,0,4,0,50
130,Cabimas,33,O3,61,2,7,12,163,2,0,0,0,0
131,Milwaukee,45,PM2.5,26,1,12,43,168,18,1,0,0,0
132,Samut Sakhon,167,PM2.5,6,5,102,154,1259,40,0,0,0,0
133,Essen,39,PM2.5,6,1,9,16,304,25,14,0,0,0
134,Dresden,61,PM2.5,7,1,16,28,799,26,11,30,2,0
135,Udaipur,154,PM2.5,21,4,65,107,591,39,12,41,1,0
136,Vellore,83,PM2.5,12,3,27,58,507,24,5,14,1,0
137,Thoothukkudi,80,PM2.5,3,2,26,29,223,13,1,7,0,0
138,Bloemfontein,35,O3,29,1,6,11,146,3,0,0,0,0
139,Udon Thani,77,PM2.5,29,1,24,41,460,11,0,0,0,0
140,Jalgaon,152,PM2.5,11,11,57,100,949,31,4,26,5,0
141,Zaoyang,149,PM2.5,23,2,57,109,924,13,0,0,0,0
142,Yiyang Hunan,156,PM2.5,28,6,66,135,748,24,5,28,2,0
143,Baltimore,53,PM2.5,36,0,16,33,120,34,4,9,0,0
144,Kitchener,37,PM2.5,26,2,10,32,320,13,4,8,0,0
145,Poza Rica de Hidalgo,52,PM2.5,22,2,15,22,118,5,0,0,0,0
146,Oujda,33,O3,30,2,4,6,112,3,0,0,0,0
147,Orenburg,66,PM2.5,30,2,18,42,156,38,0,0,0,0
148,Bremen,62,PM2.5,10,0,18,23,324,33,5,18,0,0
149,Kota Kinabalu,39,PM2.5,14,0,8,11,168,4,0,0,0,0
150,Basel,66,PM2.5,10,1,20,20,236,28,2,12,0,0
151,Gomel,56,PM2.5,22,1,14,18,169,2,0,0,0,0
152,Albuquerque,48,PM10,16,1,10,51,180,16,9,18,0,0
153,Meknes,46,PM2.5,24,3,13,17,116,9,0,0,0,0
154,Panipat,180,PM2.5,16,4,116,136,2025,19,17,31,16,0
155,Irbid,99,PM2.5,24,2,33,135,459,8,2,9,1,0
156,Chiang Rai,113,PM2.5,18,1,29,37,600,2,0,0,0,0
157,Leicester,41,PM2.5,25,2,10,18,140,24,6,14,0,0
158,Tucson,57,PM2.5,10,0,15,30,146,12,0,0,0,0
159,Imus,90,PM2.5,33,0,34,81,119,17,0,0,0,0
160,Villavicencio,46,PM2.5,43,1,14,19,141,4,0,0,0,0
161,Sakarya,72,PM2.5,23,24,20,37,935,33,0,0,0,0
162,Utrecht,67,PM2.5,9,0,22,26,158,27,4,0,0,0
163,Larkana,164,PM2.5,19,3,86,124,675,14,0,0,0,0
164,Basilan City,22,O3,23,0,5,7,102,0,0,0,0,0
165,Kerman,53,PM2.5,1,0,14,16,502,12,8,20,0,204
166,Mekele,39,O3,34,0,8,13,251,1,0,0,0,0
167,Edinburgh,31,PM2.5,35,0,6,10,124,31,9,33,0,0
168,San Juan,24,PM2.5,29,0,6,25,98,0,0,0,0,0
169,Ryazan,55,PM2.5,21,2,15,20,180,24,0,0,0,0
170,Vilnius,97,PM2.5,13,2,38,49,230,30,0,23,0,0
171,Calamba,27,O3,33,0,5,8,111,2,0,0,0,0
172,Hannover,16,O3,12,1,3,4,358,10,12,7,0,0
173,Fresno,72,PM2.5,1,0,21,37,517,29,19,34,0,770
174,Astrakhan,54,PM2.5,23,2,14,16,137,18,0,0,0,0
175,Bellary,81,PM2.5,31,5,25,43,857,5,36,51,1,0
176,Pietermaritzburg,73,PM2.5,22,4,25,31,550,33,0,0,0,0
177,Rustenburg,59,PM2.5,26,2,16,19,453,7,7,10,0,0
178,Sheikhupura,184,PM2.5,19,4,117,209,1211,76,53,129,2,0
179,Grenoble,63,PM2.5,15,0,17,27,313,27,3,1,1,0
180,Angeles City,30,PM2.5,22,0,8,12,184,4,0,0,0,0
181,Poznan,158,PM2.5,2,3,76,78,448,35,0,19,1,0
182,Cuautla Morelos,69,PM2.5,119,49,22,32,733,3,0,0,0,0
183,Kalasin,69,PM2.5,39,2,10,24,324,2,0,0,0,0
184,Atlanta,52,PM2.5,20,2,12,30,666,25,15,26,0,0
185,Rupganj,289,PM2.5,2,8,265,265,841,11,4,22,0,0
186,Penza,61,PM2.5,29,2,18,29,146,13,0,0,0,0
187,Porto Velho,32,PM2.5,12,0,7,11,132,1,0,0,0,0
188,Chuxiong,72,PM2.5,7,4,25,36,786,15,0,0,0,0
189,Duisburg,27,PM2.5,8,1,6,12,237,22,9,0,0,0
190,Muzaffarpur,194,PM2.5,3,1,152,213,1243,56,6,47,5,0
191,Changge,84,PM2.5,5,3,31,67,666,28,0,0,0,0
192,Kuantan,60,PM2.5,37,0,13,23,175,1,0,0,0,0
193,Kandahar,29,O3,35,0,4,4,215,2,1,4,0,0
194,Nurenberg,35,PM2.5,20,1,9,9,253,9,3,0,0,0
195,London CA,25,O3,26,2,3,11,316,5,4,8,0,0
196,Bournemouth,59,PM2.5,27,0,10,30,120,33,1,3,0,0
197,Khon-Kaen,64,PM2.5,36,2,12,27,343,3,0,0,0,0
198,Cheboksary,73,PM2.5,30,2,21,22,139,21,0,0,0,0
199,Lipetsk,88,PM2.5,22,2,28,36,178,24,0,0,0,0
200,Murcia,21,O3,37,3,1,17,436,3,2,5,0,0
201,Tirana,57,PM2.5,16,1,18,19,209,10,0,0,0,0
202,Surat Thani,96,PM2.5,17,3,24,43,264,4,0,0,0,0
203,Kansas City,32,PM10,28,0,7,38,220,19,2,7,0,0
