,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,52,PM2.5,17,0,14,38,131,48,57,94,0,0
1,Thessaloniki,69,PM2.5,26,2,22,31,131,18,0,0,3,0
2,Bologna,96,PM2.5,17,1,35,47,452,35,3,14,1,0
3,Barcelona-Puerto La Cruz,37,PM2.5,35,0,10,13,254,7,3,9,1,0
4,Cherthala,105,PM2.5,4,5,41,62,1048,10,17,41,0,0
5,Quzhou,136,PM2.5,18,2,50,145,865,30,0,0,0,0
6,Sorocaba,65,PM2.5,47,1,19,28,111,26,0,0,0,0
7,Nottingham,69,PM2.5,19,1,19,32,149,30,12,27,0,0
8,Xalapa,62,PM2.5,81,6,19,27,248,1,0,0,0,0
9,Frankfurt,64,PM2.5,5,0,18,26,343,42,13,33,1,0
10,Nakhon Ratchasima,88,PM2.5,15,1,31,60,510,27,0,0,0,0
11,Vereeniging,46,PM2.5,34,2,11,25,133,28,1,9,0,0
12,Seattle,29,O3,32,0,5,26,189,20,6,14,0,0
13,Bozhou,132,PM2.5,21,1,45,99,189,12,0,0,0,0
14,Nellore,90,PM2.5,19,2,36,80,505,29,7,16,0,0
15,Hamilton,61,PM2.5,17,1,16,43,432,19,4,29,0,0
16,Cagayan de Oro City,59,PM2.5,9,0,10,15,175,4,0,0,0,0
17,Krakow,152,PM2.5,1,5,65,83,1064,43,0,108,3,0
18,Gorakhpur,162,PM2.5,2,6,97,181,716,11,2,66,0,0
19,Dasmarinas,52,PM2.5,31,0,9,15,136,8,0,0,0,0
20,Ar-Rayyan,56,PM2.5,23,1,13,35,150,10,0,0,0,0
21,Cuttack,174,PM2.5,37,15,105,150,753,10,0,0,0,0
22,Denver,35,PM2.5,26,0,9,22,358,27,0,2,0,0
23,Qingyuan,123,PM2.5,12,2,44,94,372,19,1,15,0,0
24,Banjarmasin,31,PM2.5,17,1,7,11,164,2,0,0,0,0
25,Kottayam,127,PM2.5,7,4,50,85,1013,16,15,34,0,0
26,Belgaum,43,PM2.5,3,1,12,18,419,33,29,3,1,0
27,Sheffield,53,PM2.5,16,1,13,18,135,25,5,20,0,0
28,Gaza,92,PM10,24,0,27,140,1156,13,2,15,1,0
29,Zaragoza,47,PM2.5,33,1,12,19,157,7,3,10,0,0
30,Zaporizhzhya,134,PM2.5,17,5,51,83,337,22,0,0,0,0
31,Malegaon,165,PM2.5,18,8,90,155,1608,32,31,55,2,0
32,Sao Jose dos Campos,65,PM2.5,51,0,20,37,1,25,0,0,0,0
33,Mangalore,159,PM2.5,6,2,60,76,402,32,12,34,0,0
34,Okayama,83,PM2.5,4,3,23,23,679,19,3,22,0,172
35,Ribeirao Preto,56,PM2.5,53,0,13,31,103,10,0,0,0,0
36,Xianyang Shaanxi,56,PM2.5,53,0,13,31,103,10,0,0,0,0
37,Bunia,21,PM2.5,18,0,5,7,125,0,0,0,0,0
38,Lviv,140,PM2.5,5,5,54,74,353,42,0,15,0,0
39,Tongliao,71,PM2.5,31,2,23,23,1,4,0,0,0,0
40,Sialkot,166,PM2.5,7,3,84,154,1527,29,18,37,0,0
41,Buffalo City,68,PM2.5,0,0,20,51,0,35,0,1,0,0
42,Suining Sichuan,68,PM2.5,0,0,20,51,0,35,0,1,0,0
