,URL
0,Mosul
1,Novosibirsk
2,Tabriz
3,Muscat
4,Monrovia
5,Tiruppur
6,Munich
7,Harare
8,Tegucigalpa
9,Onitsha
10,N-Djamena
11,Mandalay
12,Basra
13,Taizhou Jiangsu
14,Nouakchott
15,Homs
16,Cochabamba
17,Niamey
18,Kisangani
19,Pointe-Noire
20,Freetown
21,Astana
22,Uyo
23,Mwanza
24,Omsk
25,Lilongwe
26,Nanyang Henan
27,Kigali
28,Tripoli
29,Krasnoyarsk
30,Kaduna
31,Bukavu
32,Maputo
33,San Salvador
34,Shimkent
35,Bujumbura
36,Managua
37,Bishkek
38,Hargeysa
39,Fuzhou Jiangxi
40,Asmara
41,Ilorin
42,Blantyre-Limbe
43,Dushanbe
44,Misratah
45,Bangui
46,Owerri
47,Nampula
48,Lubango
49,Ashgabat
50,Libreville
51,Banghazi
