,URL
0,Montevideo
1,Gaziantep
2,Mosul
3,Novosibirsk
4,Tabriz
5,Muscat
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Basra
12,Taizhou Jiangsu
13,Nouakchott
14,Homs
15,Cochabamba
16,Niamey
17,Kisangani
18,Pointe-Noire
19,Astana
20,Uyo
21,Mwanza
22,Omsk
23,Lilongwe
24,Nanyang Henan
25,Kigali
26,Tripoli
27,Chandigarh
28,Islamabad
29,Amsterdam
30,Haifa
31,Guilin
32,Krasnoyarsk
33,Mexicali
34,Ufa
35,Rostov-on-Don
36,Hubli-Dharwad
37,Guwahati
38,Kaduna
39,Bukavu
40,Liupanshui
41,Quetta
42,Cologne
43,Aguascalientes
44,Binzhou
45,Salem
46,Maputo
47,San Salvador
48,Saharanpur
49,Shimkent
50,Yerevan
51,Tbilisi
52,Bujumbura
53,Jalandhar
54,Managua
55,Lille
56,Bishkek
57,Siliguri
58,Oslo
59,Jingzhou Hubei
60,Zhaoqing
61,Antwerp
62,Johor Bahru
63,Solapur
64,Hargeysa
65,Teresina
66,Fuzhou Jiangxi
67,Aracaju
68,Leshan
69,Marrakech
70,Rotterdam
71,Austin
72,San Jose
73,Denpasar
74,Odesa
75,San Miguel de Tucuman
76,Asmara
77,Padang
78,Cebu City
79,Acapulco de Juarez
80,Valparaiso
81,Kayseri
82,Warangal
83,Changshu
84,Bordeaux
85,Songkhla
86,Yichun Jiangxi
87,Krasnodar
88,Ilorin
89,Cancun
90,Jixi Heilongjiang
91,Blantyre-Limbe
92,Morelia
93,Dnipro
94,Khulna
95,Jerusalem
96,Dehradun
97,Fort Worth
98,Dushanbe
99,Jiujiang
100,Southampton
101,Arequipa
102,Ciudad Guayana
103,Zamboanga City
104,Veracruz
105,Jacksonville
106,Pathum Thani
107,Rajshahi
108,Misratah
109,Guigang
110,Columbus
111,Charlotte
112,Ulsan
113,Bangui
114,Owerri
115,Liverpool
116,Antipolo
117,Zhangzhou
118,Bergamo
119,Donetsk
120,Malang
121,Linfen
122,Sylhet
123,Indianapolis
124,Nampula
125,Hermosillo
126,San Francisco
127,Guntur
128,Lubango
129,Bahawalpur
130,Tyumen
131,Soshanguve
132,Tuxtla Gutierrez
133,Ashgabat
134,Puducherry
135,Culiacan
136,Libreville
137,Saratov
138,Banghazi
139,Valencia
140,Luzhou
141,Quebec City
142,Yibin
143,Ipoh
144,Winnipeg
145,Bogra
