,URL
0,Montevideo
1,Sharjah
2,Phoenix
3,Lyon
4,Mosul
5,Glasgow
6,Novosibirsk
7,Tabriz
8,Muscat
9,Philadelphia
10,Harare
11,Tegucigalpa
12,Onitsha
13,N-Djamena
14,Mandalay
15,Basra
16,Taizhou Jiangsu
17,Nouakchott
18,Homs
19,Copenhagen
20,Konya
21,Cochabamba
22,Niamey
23,Kisangani
24,Pointe-Noire
25,Freetown
26,Astana
27,Uyo
28,Mwanza
29,Omsk
30,Lilongwe
31,Nanyang Henan
32,Kigali
33,Tripoli
34,Krasnoyarsk
35,Kaduna
36,Bukavu
37,Maputo
38,San Salvador
39,Shimkent
40,Bujumbura
41,Managua
42,Bishkek
43,Hargeysa
44,Asmara
45,Ilorin
46,Cancun
47,Blantyre-Limbe
48,Dushanbe
49,Bangui
50,Owerri
51,Liverpool
52,Nampula
53,Lubango
54,Ashgabat
55,Puducherry
56,Libreville
57,Banghazi
