,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Mandalay
10,Basra
11,Taizhou Jiangsu
12,Nouakchott
13,Homs
14,Niamey
15,Kisangani
16,Pointe-Noire
17,Freetown
18,Astana
19,Uyo
20,Mwanza
21,Lilongwe
22,Nanyang Henan
23,Kigali
24,Tripoli
25,Kaduna
26,Bukavu
27,Maputo
28,San Salvador
29,Shimkent
30,Bujumbura
31,Managua
32,Bishkek
33,Hargeysa
34,Asmara
35,Ilorin
36,Blantyre-Limbe
37,Dushanbe
38,Misratah
39,Bangui
40,Owerri
41,Nampula
42,Lubango
43,Ashgabat
44,Libreville
45,Banghazi
