,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Philadelphia
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Basra
12,Taizhou Jiangsu
13,Nouakchott
14,Homs
15,Cochabamba
16,Niamey
17,Kisangani
18,Pointe-Noire
19,Freetown
20,Durg-Bhilainagar
21,Astana
22,Ruian
23,Uyo
24,Mwanza
25,Tiruchirappalli
26,Omsk
27,Huaibei
28,Lilongwe
29,Nanyang Henan
30,Kigali
31,Tripoli
32,Krasnoyarsk
33,Kaduna
34,Bukavu
35,Maputo
36,San Salvador
37,Shimkent
38,Bujumbura
39,Managua
40,Bishkek
41,Hargeysa
42,Fuzhou Jiangxi
43,Rotterdam
44,Asmara
45,Ilorin
46,Blantyre-Limbe
47,Dushanbe
48,Jiujiang
49,Misratah
50,Guigang
51,Bangui
52,Owerri
53,Nampula
54,Lubango
55,Ashgabat
56,Libreville
57,Banghazi
