,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Philadelphia
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Basra
12,Taizhou Jiangsu
13,Nouakchott
14,Homs
15,Cochabamba
16,Niamey
17,Helsinki
18,Kisangani
19,Pointe-Noire
20,Freetown
21,Astana
22,Mwanza
23,Omsk
24,Lilongwe
25,Nanyang Henan
26,Jinhua
27,Kigali
28,Tripoli
29,Krasnoyarsk
30,Kaduna
31,Bukavu
32,Maputo
33,San Salvador
34,Shimkent
35,Bujumbura
36,Managua
37,Bishkek
38,Hargeysa
39,Asmara
40,Ilorin
41,Blantyre-Limbe
42,Dushanbe
43,Misratah
44,Bangui
45,Owerri
46,Bergamo
47,Nampula
48,Lubango
49,Ashgabat
50,Libreville
51,Banghazi
