,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Madurai,97,PM2.5,13,3,36,59,326,24,4,8,0,0
1,Quanzhou,64,PM2.5,35,3,18,56,524,11,1,10,0,0
2,Palembang,102,PM2.5,12,1,32,54,437,35,0,0,0,0
3,Santa Cruz,27,O3,38,0,1,5,168,1,0,1,0,0
4,Gaziantep,157,PM2.5,8,24,62,108,1118,72,0,0,0,0
5,Sharjah,105,PM2.5,17,8,39,65,266,76,0,0,0,0
6,Phoenix,63,PM2.5,4,0,16,40,270,31,0,0,0,0
7,Lyon,107,PM2.5,3,0,40,52,432,52,32,10,0,0
8,Meerut,171,PM2.5,11,4,93,281,593,48,7,36,0,0
9,Jiangmen,109,PM2.5,34,4,42,94,944,37,0,0,0,0
10,Can Tho,83,PM2.5,22,4,27,38,730,23,0,0,0,0
11,Raipur,187,PM2.5,6,43,140,201,2661,53,0,0,0,0
12,Glasgow,53,PM2.5,30,1,14,24,149,14,0,0,0,0
13,Stockholm,73,PM2.5,10,0,22,36,379,46,0,0,0,0
14,Auckland,33,PM2.5,17,0,6,18,49,6,0,0,0,0
15,Jamshedpur,189,PM2.5,19,15,130,141,2652,17,6,49,1,0
16,Yinchuan,88,PM2.5,2,2,44,113,1661,49,0,0,0,0
17,Jilin,49,PM2.5,29,4,11,25,515,8,0,0,0,0
18,Srinagar,151,PM2.5,36,5,60,108,738,17,6,30,7,0
19,Batam,70,PM2.5,36,1,20,38,196,21,0,0,0,0
20,Ulaanbaatar,168,PM2.5,14,34,118,118,410,27,0,0,0,0
21,Marseille,76,PM2.5,18,5,24,35,201,36,0,0,0,0
22,Makassar,68,PM2.5,20,1,16,31,453,13,0,0,0,0
23,Aurangabad,152,PM2.5,12,6,64,123,803,8,1,4,5,0
24,Muscat,152,PM2.5,12,6,64,123,803,8,1,4,5,0
25,Philadelphia,71,PM2.5,3,2,29,52,411,45,37,72,0,0
26,Qiqihaer,93,PM2.5,4,5,37,79,781,28,0,0,0,0
27,Xining,13,PM2.5,10,0,3,4,140,1,0,0,0,0
28,San Antonio,57,PM2.5,5,0,15,49,163,24,5,17,0,0
29,Calgary,44,NO2,1,0,10,14,734,47,79,117,0,0
30,Daejon,30,O3,35,0,5,16,119,8,2,4,0,0
31,Monrovia,58,PM2.5,9,0,15,36,394,26,9,27,0,0
32,Tiruppur,64,PM2.5,2,4,14,35,873,12,8,10,0,0
33,Munich,28,NO2,9,1,7,13,378,31,58,0,1,0
34,Ciudad Juarez,44,PM2.5,38,4,10,16,184,15,0,0,0,0
35,Kananga,49,PM2.5,30,1,11,36,105,19,0,0,0,0
36,Gwangju,37,PM2.5,13,3,7,18,588,30,0,0,0,0
37,Suqian,121,PM2.5,3,4,46,66,602,37,0,0,0,0
38,Yekaterinburg,58,PM2.5,32,2,14,29,142,42,0,0,0,0
39,Abu Dhabi,112,PM2.5,59,4,45,74,199,46,0,0,0,0
40,Jodhpur,113,PM2.5,14,2,34,113,376,31,6,14,0,0
41,Edmonton,66,PM2.5,0,0,20,22,695,39,63,102,1,13
42,Ranchi,175,PM2.5,14,13,107,161,2306,36,20,87,1,0
43,Kathmandu,108,PM2.5,8,2,44,227,1268,42,30,79,2,0
44,Jabalpur,129,PM2.5,16,6,41,171,2550,41,6,48,0,0
45,Asansol,175,PM2.5,53,2,104,129,874,13,9,36,5,0
46,Kota,168,PM2.5,12,4,101,176,882,40,9,45,1,0
47,San Diego,66,PM2.5,16,0,19,28,473,24,1,16,0,0
48,Kharkiv,80,PM2.5,20,3,29,36,174,27,0,0,0,0
49,San Jose,29,O3,34,0,5,17,154,7,0,1,0,70
50,Allahabad,176,PM2.5,1,8,107,176,2199,67,28,77,74,0
51,Gwalior,95,PM2.5,11,7,23,63,1001,6,4,8,2,0
52,Ottawa,36,PM2.5,21,1,9,36,175,17,0,0,0,0
53,Zurich,65,PM2.5,8,1,20,29,283,20,13,25,0,0
54,Belgrade,79,PM2.5,18,10,27,28,564,24,0,0,0,0
55,Amritsar,164,PM2.5,3,5,60,132,507,21,6,16,1,0
56,Joao Pessoa,52,PM2.5,29,1,13,24,93,1,0,0,0,0
57,Queretaro,73,PM2.5,6,9,25,48,1214,9,0,0,0,0
58,Taian Shandong,81,PM2.5,31,1,22,42,342,32,3,15,0,0
59,Copenhagen,60,PM2.5,20,0,15,36,207,32,0,0,0,0
60,Konya,142,PM2.5,11,10,42,90,81,26,0,0,0,0
61,Dhanbad,183,PM2.5,9,5,120,120,3962,30,0,41,0,0
