,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Budapest,70,PM2.5,29,1,21,43,195,27,0,15,0,0
1,Madurai,71,PM2.5,10,3,19,42,217,10,3,10,1,0
2,Quanzhou,56,PM2.5,31,3,14,27,524,10,1,9,0,0
3,Palembang,72,PM2.5,25,1,23,38,206,23,0,0,0,0
4,Santa Cruz,43,PM2.5,30,0,11,33,207,15,0,3,0,40
5,Gaziantep,151,PM2.5,4,23,39,76,1068,38,0,0,0,0
6,Sharjah,142,PM2.5,12,11,48,68,510,62,0,0,0,0
7,Phoenix,38,PM2.5,36,0,10,28,162,21,0,0,0,0
8,Lyon,105,PM2.5,2,2,35,47,518,41,55,37,0,0
9,Meerut,195,PM2.5,6,2,119,246,1018,37,9,29,1,0
10,Jiangmen,85,PM2.5,13,4,29,53,870,24,0,0,0,0
11,Can Tho,88,PM2.5,63,4,30,51,402,4,0,0,0,0
12,Raipur,151,PM2.5,14,11,51,169,721,11,18,23,0,0
13,Glasgow,34,O3,38,0,3,10,124,1,0,0,0,0
14,Stockholm,72,PM2.5,7,0,18,30,388,21,0,0,0,0
15,Auckland,35,PM2.5,16,0,8,28,51,20,0,0,0,0
16,Jamshedpur,187,PM2.5,12,18,130,223,2210,28,13,54,10,0
17,Yinchuan,85,PM2.5,3,1,31,71,1268,23,0,0,0,0
18,Jilin,56,PM2.5,21,8,17,34,602,12,0,0,0,0
19,Srinagar,152,PM2.5,21,1,51,73,679,9,13,34,5,0
20,Batam,79,PM2.5,34,3,35,103,275,25,0,0,0,0
21,Ulaanbaatar,279,PM2.5,22,44,274,274,428,26,0,0,0,0
22,Marseille,73,PM2.5,6,1,19,39,794,39,25,52,5,0
23,Makassar,54,PM2.5,40,1,20,43,208,13,0,0,0,0
24,Aurangabad,151,PM2.5,0,4,58,77,402,9,1,5,4,0
25,Philadelphia,73,PM2.5,16,1,25,35,273,31,1,22,0,0
26,Qiqihaer,35,PM2.5,17,13,7,34,514,13,0,0,0,0
27,Xining,16,PM2.5,7,0,4,6,145,2,0,0,0,0
28,San Antonio,61,PM2.5,25,0,23,43,192,29,0,15,0,0
29,Calgary,28,PM10,19,0,6,31,300,28,1,17,0,0
30,Daejon,25,O3,30,0,1,4,123,1,0,1,0,0
31,Monrovia,71,PM2.5,31,0,22,38,379,37,1,20,0,0
32,Tiruppur,68,PM2.5,8,2,18,39,420,10,9,28,0,0
33,Munich,15,PM2.5,27,0,2,4,201,4,2,0,0,0
34,Ciudad Juarez,44,O3,38,6,11,18,188,26,0,0,0,0
35,Kananga,34,PM2.5,35,1,10,33,94,17,0,0,0,0
36,Gwangju,26,O3,27,3,6,20,581,16,0,0,0,0
37,Suqian,79,PM2.5,10,8,26,48,1024,22,0,0,0,0
38,Yekaterinburg,59,PM2.5,33,1,16,36,133,29,0,0,0,0
39,Abu Dhabi,90,PM2.5,53,3,28,77,180,26,0,0,0,0
40,Jodhpur,158,PM2.5,18,4,74,144,162,32,13,30,1,0
41,Edmonton,53,PM2.5,2,0,14,46,697,52,32,74,1,41
42,Ranchi,183,PM2.5,14,32,112,172,1028,27,30,59,4,0
43,Kathmandu,157,PM2.5,1,2,78,251,1058,19,7,23,2,0
44,Jabalpur,112,PM2.5,8,7,35,73,969,16,1,17,0,0
45,Asansol,166,PM2.5,18,3,90,193,616,21,13,54,10,0
46,Kota,178,PM2.5,18,4,118,223,376,31,9,33,1,0
47,San Diego,55,PM2.5,30,0,17,31,363,22,2,11,0,0
48,Kharkiv,79,PM2.5,26,2,27,27,152,10,0,0,0,0
49,San Jose,30,O3,33,0,7,20,193,12,0,3,0,40
50,Allahabad,188,PM2.5,1,7,127,203,2168,32,83,96,74,0
51,Gwalior,111,PM2.5,3,3,34,55,473,3,4,6,2,0
52,Ottawa,51,PM2.5,26,1,10,35,167,15,0,0,0,0
53,Zurich,52,PM2.5,2,0,13,15,282,21,1,17,0,0
54,Belgrade,67,PM2.5,25,10,18,19,515,7,0,0,0,0
55,Amritsar,167,PM2.5,4,4,82,144,354,19,6,19,1,0
56,Joao Pessoa,41,PM2.5,18,0,11,21,88,0,0,0,0,0
57,Queretaro,94,PM2.5,23,8,38,89,2257,9,0,0,0,0
58,Taian Shandong,85,PM2.5,23,1,32,40,532,40,7,27,0,0
59,Copenhagen,63,PM2.5,8,0,17,20,261,14,16,7,0,0
60,Konya,209,PM2.5,1,18,160,204,1371,22,0,0,0,0
61,Dhanbad,167,PM2.5,18,3,93,194,773,22,12,54,9,0
62,Dallas,52,PM2.5,22,0,13,30,204,26,0,11,0,0
63,Ganzhou,99,PM2.5,23,5,37,60,767,10,0,0,0,0
64,Adelaide,67,PM2.5,12,0,22,53,65,29,0,0,0,0
65,Hai Phong,59,PM2.5,32,8,15,28,661,8,0,0,0,0
66,Mombasa,51,PM2.5,26,2,11,18,140,2,0,0,0,0
67,Jiaxing,40,PM2.5,16,4,9,34,823,23,0,0,0,0
68,Helsinki,48,PM2.5,0,1,8,14,226,20,0,0,1,0
69,Porto,90,PM2.5,5,0,27,39,371,25,0,0,0,0
70,Zhanjiang,105,PM2.5,31,6,34,51,746,11,0,0,0,0
71,Prague,72,PM2.5,14,1,23,27,237,25,1,11,0,0
72,Dongying,95,PM2.5,7,15,36,67,1034,26,0,0,0,0
73,Mianyang Sichuan,81,PM2.5,24,1,25,41,535,50,6,25,0,0
74,Nanchong,111,PM2.5,10,1,43,57,628,11,0,0,0,0
75,Fushun Liaoning,111,PM2.5,10,1,43,57,628,11,0,0,0,0
76,Antalya,122,PM2.5,1,1,48,98,836,32,0,0,0,0
77,Bareilly,196,PM2.5,5,3,130,198,1884,23,32,75,8,0
78,Kazan,53,PM2.5,24,2,16,21,146,12,0,0,0,0
79,Ad-Dammam,153,PM2.5,15,24,65,134,188,36,0,0,0,0
80,Port Elizabeth,53,PM2.5,13,2,12,22,100,4,2,2,0,0
81,Ahvaz,36,O3,35,0,5,6,116,2,0,0,0,0
82,Florianopolis,61,PM2.5,30,0,17,28,107,21,0,0,0,0
83,Nizhniy Novgorod,56,PM2.5,28,3,14,18,148,23,0,0,0,0
84,Dublin,59,PM2.5,37,2,18,18,192,14,3,3,0,0
85,Maoming,31,PM2.5,20,0,7,7,255,8,1,3,0,0
