,URL
0,Kinshasa
1,Lagos
2,Luanda
3,Baghdad
4,Dar es Salaam
5,Khartoum
6,Yangon
7,Abidjan
8,Kabul
9,Yaounde
10,Kano
11,Douala
12,Antananarivo
13,Kumasi
14,Abuja
15,Asuncion
16,Santo Domingo
17,Mashhad
18,Dakar
19,Port Harcourt
20,Pyongyang
21,Guatemala City
22,Lusaka
23,Port-au-Prince
24,Algiers
25,Bamako
26,Accra
27,Tashkent
28,Brazzaville
29,Damascus
30,Beirut
31,Tunis
32,Mogadishu
33,Esfahan
34,Phnom Penh
35,Havana
36,Aleppo
37,Taizhou Zhejiang
38,Conakry
39,Linyi Shandong
40,Almaty
41,Panama City
42,Lome
43,Benin City
