,URL
0,Sao Paulo
1,Kinshasa
2,Lagos
3,Tehran
4,Luanda
5,Baghdad
6,Dar es Salaam
7,Khartoum
8,Johannesburg
9,Yangon
10,Abidjan
11,Kabul
12,Yaounde
13,Kano
14,Taiyuan Shanxi
15,Douala
16,Ibadan
17,Antananarivo
18,Kumasi
19,Abuja
20,Asuncion
21,Santo Domingo
22,Mashhad
23,Dakar
24,Port Harcourt
25,Pyongyang
26,Guatemala City
27,Ouagadougou
28,Lusaka
29,Port-au-Prince
30,Algiers
31,Bamako
32,Mbuji-Mayi
33,Yantai
34,Accra
35,Tashkent
36,Brazzaville
37,Damascus
38,Beirut
39,Tunis
40,Mogadishu
41,Esfahan
42,Phnom Penh
43,Havana
44,Aleppo
45,Taizhou Zhejiang
46,Conakry
47,Linyi Shandong
48,Almaty
49,Panama City
50,Lome
51,Benin City
