,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
96,Tel Aviv,,,,,,,,,,,,,
97,Montreal,7,-9,-8,-2,7,14,19,21,20,16,9,2,-5
98,Shijiazhuang,14,-1,2,9,15,22,26,28,26,21,16,7,1
99,Recife,28,29,29,29,28,27,26,26,26,27,28,28,29
100,Yaounde,25,25,26,26,26,25,24,24,24,24,25,25,25
101,Porto Alegre,20,26,25,24,21,17,15,15,16,17,20,22,24
102,Fortaleza,28,28,28,28,27,28,27,27,27,27,28,28,28
103,Kano,28,21,26,29,32,33,32,29,28,29,30,26,22
104,Medellin,17,17,17,18,18,18,18,17,17,17,17,17,17
105,Jaipur,26,16,20,25,30,34,34,31,29,29,28,22,18
106,Los Angeles,19,15,15,16,18,19,21,23,24,23,21,17,14
107,Taiyuan Shanxi,11,-4,0,5,13,19,22,24,23,18,11,4,-3
108,Nanning,22,13,15,18,23,27,28,29,29,28,24,20,15
109,Ekurhuleni,,,,,,,,,,,,,
110,Salvador,27,28,28,28,27,26,26,25,25,25,26,27,27
111,Casablanca,18,13,14,15,17,19,21,23,24,23,20,17,15
112,Douala,27,28,29,29,28,28,27,26,26,26,27,28,28
113,Xiamen,22,14,14,16,20,24,27,29,29,27,24,20,16
114,Lucknow,25,15,19,24,30,32,33,30,30,29,26,21,16
115,Fuzhou Fujian,21,11,13,15,19,23,27,30,30,27,23,19,13
116,Changzhou,17,3,6,10,16,22,25,29,29,24,19,12,6
117,Kozhikode,29,28,29,30,31,30,28,27,27,28,29,29,29
118,Curitiba,18,22,22,21,19,16,15,14,16,16,18,20,21
119,Wenzhou,,,,,,,,,,,,,
120,Nanchang,19,6,9,13,18,24,27,30,30,26,21,14,8
121,Ibadan,27,28,29,29,29,28,27,26,25,26,26,28,28
122,Malappuram,29,28,29,30,31,30,28,27,27,28,29,29,29
123,Berlin,10,1,2,5,9,14,17,19,18,14,10,5,2
124,Tangshan Hebei,12,-5,-1,5,13,20,24,26,25,20,13,4,-3
125,Faisalabad,24,12,15,21,27,32,33,32,31,30,26,19,14
126,Antananarivo,20,22,22,22,21,19,16,15,16,18,20,21,22
127,Bekasi,29,28,28,29,29,29,29,29,29,29,30,29,28
128,Kumasi,27,28,28,28,28,27,26,25,25,26,26,27,27
129,Kampala,23,23,23,23,23,23,22,22,22,22,22,22,22
130,Busan,15,2,4,8,13,18,22,25,27,22,17,10,4
131,Abuja,29,29,31,33,31,29,27,26,26,26,27,29,28
132,Guiyang,15,4,7,12,16,19,22,24,24,21,16,12,6
133,Asuncion,24,28,28,27,24,20,19,18,20,22,24,26,27
134,Santo Domingo,27,26,26,26,27,27,28,28,28,28,28,27,26
135,Campinas,22,25,25,24,23,20,19,19,20,21,23,23,24
