,city,area,unit,url
83,Brasilia,5.802,km2,https://www.google.com/search?q=Brasilia+surface+area
84,Cape Town,400.3,km2,https://www.google.com/search?q=Cape+Town+surface+area
85,Jiddah,1.600,km2,https://www.google.com/search?q=Jiddah+surface+area
86,Changsha,11.819,km2,https://www.google.com/search?q=Changsha+surface+area
87,Kunming,21.501,km2,https://www.google.com/search?q=Kunming+surface+area
88,Urumqi,14.577,km2,https://www.google.com/search?q=Urumqi+surface+area
89,Changchun,24.734,km2,https://www.google.com/search?q=Changchun+surface+area
90,Xinbei,439.2,km2,https://www.google.com/search?q=Xinbei+surface+area
91,Shantou,2.248,km2,https://www.google.com/search?q=Shantou+surface+area
92,Hefei,11.434,km2,https://www.google.com/search?q=Hefei+surface+area
93,Kabul,700,km2,https://www.google.com/search?q=Kabul+surface+area
94,Rome,1.285,km2,https://www.google.com/search?q=Rome+surface+area
95,Ningbo,9.816,km2,https://www.google.com/search?q=Ningbo+surface+area
96,Tel Aviv,52,km2,https://www.google.com/search?q=Tel+Aviv+surface+area
97,Montreal,431.5,km2,https://www.google.com/search?q=Montreal+surface+area
98,Shijiazhuang,15.849,km2,https://www.google.com/search?q=Shijiazhuang+surface+area
99,Recife,218,km2,https://www.google.com/search?q=Recife+surface+area
100,Yaounde,180,km2,https://www.google.com/search?q=Yaounde+surface+area
101,Porto Alegre,496.8,km2,https://www.google.com/search?q=Porto+Alegre+surface+area
102,Fortaleza,313.8,km2,https://www.google.com/search?q=Fortaleza+surface+area
103,Kano,499,km2,https://www.google.com/search?q=Kano+surface+area
104,Medellin,382,km2,https://www.google.com/search?q=Medellin+surface+area
105,Jaipur,467,km2,https://www.google.com/search?q=Jaipur+surface+area
106,Los Angeles,1.302,km2,https://www.google.com/search?q=Los+Angeles+surface+area
107,Taiyuan Shanxi,6.956,km2,https://www.google.com/search?q=Taiyuan+Shanxi+surface+area
108,Nanning,22.189,km2,https://www.google.com/search?q=Nanning+surface+area
109,Ekurhuleni,,,https://www.google.com/search?q=Ekurhuleni+surface+area
110,Salvador,21.041,km2,https://www.google.com/search?q=Salvador+surface+area
111,Casablanca,Country:,,https://www.google.com/search?q=Casablanca+surface+area
112,Douala,210,km2,https://www.google.com/search?q=Douala+surface+area
113,Xiamen,1.701,km2,https://www.google.com/search?q=Xiamen+surface+area
114,Lucknow,631,km2,https://www.google.com/search?q=Lucknow+surface+area
115,Fuzhou Fujian,12.232,km2,https://www.google.com/search?q=Fuzhou+Fujian+surface+area
116,Changzhou,4.385,km2,https://www.google.com/search?q=Changzhou+surface+area
117,Kozhikode,118,km2,https://www.google.com/search?q=Kozhikode+surface+area
118,Curitiba,432,km2,https://www.google.com/search?q=Curitiba+surface+area
119,Wenzhou,11.784,km2,https://www.google.com/search?q=Wenzhou+surface+area
120,Nanchang,7.194,km2,https://www.google.com/search?q=Nanchang+surface+area
121,Ibadan,3.080,km2,https://www.google.com/search?q=Ibadan+surface+area
122,Malappuram,3.554,km2,https://www.google.com/search?q=Malappuram+surface+area
123,Berlin,891.8,km2,https://www.google.com/search?q=Berlin+surface+area
124,Tangshan Hebei,,,https://www.google.com/search?q=Tangshan+Hebei+surface+area
125,Faisalabad,1.300,km2,https://www.google.com/search?q=Faisalabad+surface+area
126,Antananarivo,85.01,km2,https://www.google.com/search?q=Antananarivo+surface+area
127,Bekasi,210.5,km2,https://www.google.com/search?q=Bekasi+surface+area
128,Kumasi,254,km2,https://www.google.com/search?q=Kumasi+surface+area
129,Kampala,189,km2,https://www.google.com/search?q=Kampala+surface+area
130,Busan,770,km2,https://www.google.com/search?q=Busan+surface+area
131,Abuja,1.769,km2,https://www.google.com/search?q=Abuja+surface+area
132,Guiyang,8.034,km2,https://www.google.com/search?q=Guiyang+surface+area
133,Asuncion,117,km2,https://www.google.com/search?q=Asuncion+surface+area
134,Santo Domingo,104.4,km2,https://www.google.com/search?q=Santo+Domingo+surface+area
135,Campinas,795.7,km2,https://www.google.com/search?q=Campinas+surface+area
136,Wuxi,4.628,km2,https://www.google.com/search?q=Wuxi+surface+area
137,Mashhad,328,km2,https://www.google.com/search?q=Mashhad+surface+area
138,Puebla,546,km2,https://www.google.com/search?q=Puebla+surface+area
139,Dakar,83,km2,https://www.google.com/search?q=Dakar+surface+area
140,Thrissur,101.4,km2,https://www.google.com/search?q=Thrissur+surface+area
141,Kochi,94.88,km2,https://www.google.com/search?q=Kochi+surface+area
142,Kuwait City,200,km2,https://www.google.com/search?q=Kuwait+City+surface+area
143,Durban,2.292,km2,https://www.google.com/search?q=Durban+surface+area
144,Port Harcourt,369,km2,https://www.google.com/search?q=Port+Harcourt+surface+area
145,Lanzhou,13.087,km2,https://www.google.com/search?q=Lanzhou+surface+area
146,Kanpur,260,km2,https://www.google.com/search?q=Kanpur+surface+area
147,Athens,38.96,km2,https://www.google.com/search?q=Athens+surface+area
148,Milan,181.8,km2,https://www.google.com/search?q=Milan+surface+area
149,Indore,525,km2,https://www.google.com/search?q=Indore+surface+area
150,Pyongyang,2.000,km2,https://www.google.com/search?q=Pyongyang+surface+area
151,Sanaa,,,https://www.google.com/search?q=Sanaa+surface+area
152,Guayaquil,344.5,km2,https://www.google.com/search?q=Guayaquil+surface+area
153,Izmir,11.891,km2,https://www.google.com/search?q=Izmir+surface+area
154,Kiev,839,km2,https://www.google.com/search?q=Kiev+surface+area
155,Guatemala City,220,km2,https://www.google.com/search?q=Guatemala+City+surface+area
156,Surabaya,326.8,km2,https://www.google.com/search?q=Surabaya+surface+area
157,Lisbon,100,km2,https://www.google.com/search?q=Lisbon+surface+area
158,Caracas,433,km2,https://www.google.com/search?q=Caracas+surface+area
159,Zhongshan,,,https://www.google.com/search?q=Zhongshan+surface+area
160,Nagpur,393.5,km2,https://www.google.com/search?q=Nagpur+surface+area
161,Shizuoka,7.777,km2,https://www.google.com/search?q=Shizuoka+surface+area
162,Dubai,35,km2,https://www.google.com/search?q=Dubai+surface+area
163,Ouagadougou,520,km2,https://www.google.com/search?q=Ouagadougou+surface+area
164,Lusaka,418,km2,https://www.google.com/search?q=Lusaka+surface+area
165,Coimbatore,246.8,km2,https://www.google.com/search?q=Coimbatore+surface+area
166,Port-au-Prince,36.04,km2,https://www.google.com/search?q=Port-au-Prince+surface+area
167,Depok,Area,,https://www.google.com/search?q=Depok+surface+area
168,Handan,,,https://www.google.com/search?q=Handan+surface+area
169,Incheon,1.063,km2,https://www.google.com/search?q=Incheon+surface+area
170,Cali,423.970,km2,https://www.google.com/search?q=Cali+surface+area
171,Algiers,363,km2,https://www.google.com/search?q=Algiers+surface+area
172,Huaian,,,https://www.google.com/search?q=Huaian+surface+area
173,Manchester,115.6,km2,https://www.google.com/search?q=Manchester+surface+area
174,Goiania,728.8,km2,https://www.google.com/search?q=Goiania+surface+area
175,Weifang,,,https://www.google.com/search?q=Weifang+surface+area
176,Taibei,271.8,km2,https://www.google.com/search?q=Taibei+surface+area
177,Bamako,245,km2,https://www.google.com/search?q=Bamako+surface+area
178,Thiruvananthapuram,214,km2,https://www.google.com/search?q=Thiruvananthapuram+surface+area
179,Zibo,,,https://www.google.com/search?q=Zibo+surface+area
180,Chicago,606.1,km2,https://www.google.com/search?q=Chicago+surface+area
181,Sapporo,1.121,km2,https://www.google.com/search?q=Sapporo+surface+area
182,Pretoria,687.5,km2,https://www.google.com/search?q=Pretoria+surface+area
183,Mbuji-Mayi,135.1,km2,https://www.google.com/search?q=Mbuji-Mayi+surface+area
184,Shaoxing,,,https://www.google.com/search?q=Shaoxing+surface+area
185,Birmingham,267.8,km2,https://www.google.com/search?q=Birmingham+surface+area
186,Yantai,13.740,km2,https://www.google.com/search?q=Yantai+surface+area
187,Bandung,167.3,km2,https://www.google.com/search?q=Bandung+surface+area
188,Vancouver,115,km2,https://www.google.com/search?q=Vancouver+surface+area
189,Huizhou,Industrial,,https://www.google.com/search?q=Huizhou+surface+area
190,Lubumbashi,,,https://www.google.com/search?q=Lubumbashi+surface+area
191,Accra,225.7,km2,https://www.google.com/search?q=Accra+surface+area
192,Tashkent,334.8,km2,https://www.google.com/search?q=Tashkent+surface+area
193,Toluca de Lerdo,Elevation,,https://www.google.com/search?q=Toluca+de+Lerdo+surface+area
194,Patna,250,km2,https://www.google.com/search?q=Patna+surface+area
195,Brazzaville,263.9,km2,https://www.google.com/search?q=Brazzaville+surface+area
196,Luoyang,15.229,km2,https://www.google.com/search?q=Luoyang+surface+area
197,Bhopal,463,km2,https://www.google.com/search?q=Bhopal+surface+area
198,San Juan,199.4,km2,https://www.google.com/search?q=San+Juan+surface+area
199,Damascus,105,km2,https://www.google.com/search?q=Damascus+surface+area
200,Brisbane,15.826,km2,https://www.google.com/search?q=Brisbane+surface+area
201,Beirut,19.8,km2,https://www.google.com/search?q=Beirut+surface+area
202,Tunis,163.610,km2,https://www.google.com/search?q=Tunis+surface+area
203,Tangerang,164.6,km2,https://www.google.com/search?q=Tangerang+surface+area
204,Mogadishu,637,km2,https://www.google.com/search?q=Mogadishu+surface+area
205,Baku,2.140,km2,https://www.google.com/search?q=Baku+surface+area
206,Medan,265.1,km2,https://www.google.com/search?q=Medan+surface+area
207,Belem,,,https://www.google.com/search?q=Belem+surface+area
208,Nantong,,,https://www.google.com/search?q=Nantong+surface+area
209,Sendai,785.8,km2,https://www.google.com/search?q=Sendai+surface+area
210,Houston,1.733,km2,https://www.google.com/search?q=Houston+surface+area
211,Manaus,11.401,km2,https://www.google.com/search?q=Manaus+surface+area
212,Barranquilla,154,km2,https://www.google.com/search?q=Barranquilla+surface+area
213,Maracaibo,550,km2,https://www.google.com/search?q=Maracaibo+surface+area
214,Gujranwala,240,km2,https://www.google.com/search?q=Gujranwala+surface+area
215,Rawalpindi,259,km2,https://www.google.com/search?q=Rawalpindi+surface+area
216,Peshawar,215,km2,https://www.google.com/search?q=Peshawar+surface+area
217,Taoyuan,Area,,https://www.google.com/search?q=Taoyuan+surface+area
218,Agra,121,km2,https://www.google.com/search?q=Agra+surface+area
219,Hohhot,,,https://www.google.com/search?q=Hohhot+surface+area
220,Baotou,27.768,km2,https://www.google.com/search?q=Baotou+surface+area
221,Vadodara,220.3,km2,https://www.google.com/search?q=Vadodara+surface+area
222,Kannur,78.35,km2,https://www.google.com/search?q=Kannur+surface+area
223,Liuzhou,18.677,km2,https://www.google.com/search?q=Liuzhou+surface+area
224,Visakhapatnam,682,km2,https://www.google.com/search?q=Visakhapatnam+surface+area
225,Xuzhou,11.259,km2,https://www.google.com/search?q=Xuzhou+surface+area
226,Daegu,883.5,km2,https://www.google.com/search?q=Daegu+surface+area
227,Naples,119,km2,https://www.google.com/search?q=Naples+surface+area
228,Amman,1.680,km2,https://www.google.com/search?q=Amman+surface+area
229,Tijuana,637,km2,https://www.google.com/search?q=Tijuana+surface+area
230,Esfahan,551,km2,https://www.google.com/search?q=Esfahan+surface+area
231,Phnom Penh,679,km2,https://www.google.com/search?q=Phnom+Penh+surface+area
232,Havana,728.3,km2,https://www.google.com/search?q=Havana+surface+area
233,Nashik,264.2,km2,https://www.google.com/search?q=Nashik+surface+area
234,Grande Vitoria,,,https://www.google.com/search?q=Grande+Vitoria+surface+area
235,Vijayawada,61.88,km2,https://www.google.com/search?q=Vijayawada+surface+area
236,Brussels,32.61,km2,https://www.google.com/search?q=Brussels+surface+area
237,Mecca,Country:,,https://www.google.com/search?q=Mecca+surface+area
238,Hiroshima,906.7,km2,https://www.google.com/search?q=Hiroshima+surface+area
239,Perth,6.418,km2,https://www.google.com/search?q=Perth+surface+area
240,Multan,286,km2,https://www.google.com/search?q=Multan+surface+area
241,Yangzhou,,,https://www.google.com/search?q=Yangzhou+surface+area
242,Minsk,348.8,km2,https://www.google.com/search?q=Minsk+surface+area
243,Bursa,,,https://www.google.com/search?q=Bursa+surface+area
244,Baoding,22.185,km2,https://www.google.com/search?q=Baoding+surface+area
245,Aleppo,190,km2,https://www.google.com/search?q=Aleppo+surface+area
246,Putian,,,https://www.google.com/search?q=Putian+surface+area
