,Unnamed: 0,city,area,unit,url
624,624,Liverpool,111.8,km2,https://www.google.com/search?q=Liverpool+surface+area
625,625,Antipolo,306,km2,https://www.google.com/search?q=Antipolo+surface+area
627,627,Zhangzhou,12.882,km2,https://www.google.com/search?q=Zhangzhou+surface+area
628,628,Bergamo,40.16,km2,https://www.google.com/search?q=Bergamo+surface+area
629,629,Donetsk,358,km2,https://www.google.com/search?q=Donetsk+surface+area
634,634,Malang,110.1,km2,https://www.google.com/search?q=Malang+surface+area
638,638,Linfen,20.275,km2,https://www.google.com/search?q=Linfen+surface+area
640,640,Sylhet,26.5,km2,https://www.google.com/search?q=Sylhet+surface+area
642,642,Indianapolis,953,km2,https://www.google.com/search?q=Indianapolis+surface+area
643,643,Nampula,3.650,km2,https://www.google.com/search?q=Nampula+surface+area
645,645,Hermosillo,168.2,km2,https://www.google.com/search?q=Hermosillo+surface+area
646,646,San Francisco,121.4,km2,https://www.google.com/search?q=San+Francisco+surface+area
649,649,Guntur,168.4,km2,https://www.google.com/search?q=Guntur+surface+area
652,652,Lubango,3.147,km2,https://www.google.com/search?q=Lubango+surface+area
654,654,Bahawalpur,246,km2,https://www.google.com/search?q=Bahawalpur+surface+area
656,656,Tyumen,698.5,km2,https://www.google.com/search?q=Tyumen+surface+area
657,657,Soshanguve,126.8,km2,https://www.google.com/search?q=Soshanguve+surface+area
658,658,Tuxtla Gutierrez,500,km2,https://www.google.com/search?q=Tuxtla+Gutierrez+surface+area
659,659,Ashgabat,917.6,km2,https://www.google.com/search?q=Ashgabat+surface+area
664,664,Puducherry,19.54,km2,https://www.google.com/search?q=Puducherry+surface+area
665,665,Culiacan,65,km2,https://www.google.com/search?q=Culiacan+surface+area
673,673,Libreville,189,km2,https://www.google.com/search?q=Libreville+surface+area
675,675,Saratov,394,km2,https://www.google.com/search?q=Saratov+surface+area
676,676,Banghazi,314,km2,https://www.google.com/search?q=Banghazi+surface+area
677,677,Valencia,134.6,km2,https://www.google.com/search?q=Valencia+surface+area
678,678,Luzhou,12.234,km2,https://www.google.com/search?q=Luzhou+surface+area
679,679,Quebec City,484.1,km2,https://www.google.com/search?q=Quebec+City+surface+area
680,680,Yibin,13.294,km2,https://www.google.com/search?q=Yibin+surface+area
682,682,Ipoh,643,km2,https://www.google.com/search?q=Ipoh+surface+area
683,683,Winnipeg,464.1,km2,https://www.google.com/search?q=Winnipeg+surface+area
684,684,Bogra,2.899,km2,https://www.google.com/search?q=Bogra+surface+area
