,Unnamed: 0,city,area,unit,url
689,689,Newcastle upon Tyne,114,km2,https://www.google.com/search?q=Newcastle+upon+Tyne+surface+area
691,691,Thessaloniki,19.31,km2,https://www.google.com/search?q=Thessaloniki+surface+area
693,693,Bologna,140.9,km2,https://www.google.com/search?q=Bologna+surface+area
697,697,Barcelona-Puerto La Cruz,244,km2,https://www.google.com/search?q=Barcelona-Puerto+La+Cruz+surface+area
702,702,Cherthala,16.18,km2,https://www.google.com/search?q=Cherthala+surface+area
703,703,Quzhou,8.846,km2,https://www.google.com/search?q=Quzhou+surface+area
705,705,Sorocaba,450.4,km2,https://www.google.com/search?q=Sorocaba+surface+area
707,707,Enugu,7.161,km2,https://www.google.com/search?q=Enugu+surface+area
708,708,Nottingham,74.61,km2,https://www.google.com/search?q=Nottingham+surface+area
711,711,Xalapa,124.4,km2,https://www.google.com/search?q=Xalapa+surface+area
713,713,Frankfurt,248.3,km2,https://www.google.com/search?q=Frankfurt+surface+area
715,715,Nakhon Ratchasima,37.5,km2,https://www.google.com/search?q=Nakhon+Ratchasima+surface+area
716,716,Vereeniging,188.2,km2,https://www.google.com/search?q=Vereeniging+surface+area
718,718,Seattle,217,km2,https://www.google.com/search?q=Seattle+surface+area
720,720,Bozhou,8.523,km2,https://www.google.com/search?q=Bozhou+surface+area
721,721,Nellore,149,km2,https://www.google.com/search?q=Nellore+surface+area
722,722,Hamilton,1.138,km2,https://www.google.com/search?q=Hamilton+surface+area
725,725,Cagayan de Oro City,488.9,km2,https://www.google.com/search?q=Cagayan+de+Oro+City+surface+area
726,726,Krakow,327,km2,https://www.google.com/search?q=Krakow+surface+area
729,729,Gorakhpur,226.6,km2,https://www.google.com/search?q=Gorakhpur+surface+area
730,730,Dasmarinas,90.1,km2,https://www.google.com/search?q=Dasmarinas+surface+area
735,735,Ar-Rayyan,11.9,km2,https://www.google.com/search?q=Ar-Rayyan+surface+area
737,737,Cuttack,192.5,km2,https://www.google.com/search?q=Cuttack+surface+area
739,739,Denver,400.7,km2,https://www.google.com/search?q=Denver+surface+area
746,746,Qingyuan,19.153,km2,https://www.google.com/search?q=Qingyuan+surface+area
747,747,Banjarmasin,98.46,km2,https://www.google.com/search?q=Banjarmasin+surface+area
751,751,Lokoja,3.186,km2,https://www.google.com/search?q=Lokoja+surface+area
753,753,Kottayam,137.6,km2,https://www.google.com/search?q=Kottayam+surface+area
754,754,Belgaum,94,km2,https://www.google.com/search?q=Belgaum+surface+area
757,757,Sheffield,367.9,km2,https://www.google.com/search?q=Sheffield+surface+area
758,758,Zanzibar,2.461,km2,https://www.google.com/search?q=Zanzibar+surface+area
759,759,Gaza,365,km2,https://www.google.com/search?q=Gaza+surface+area
760,760,Zaragoza,973.8,km2,https://www.google.com/search?q=Zaragoza+surface+area
762,762,Zaporizhzhya,334,km2,https://www.google.com/search?q=Zaporizhzhya+surface+area
