,city,area,unit,url
636,Comilla,3.087,km2,https://www.google.com/search?q=Comilla+surface+area
637,Calabar,406,km2,https://www.google.com/search?q=Calabar+surface+area
638,Mathura,39,km2,https://www.google.com/search?q=Mathura+surface+area
639,Skopje,571.5,km2,https://www.google.com/search?q=Skopje+surface+area
640,Tomsk,297.2,km2,https://www.google.com/search?q=Tomsk+surface+area
641,Leipzig,297.6,km2,https://www.google.com/search?q=Leipzig+surface+area
642,Agartala,76.51,km2,https://www.google.com/search?q=Agartala+surface+area
643,Mbeya,35.954,km2,https://www.google.com/search?q=Mbeya+surface+area
644,Kingston,450.4,km2,https://www.google.com/search?q=Kingston+surface+area
645,Sangli,118.2,km2,https://www.google.com/search?q=Sangli+surface+area
646,Samarkand,120,km2,https://www.google.com/search?q=Samarkand+surface+area
647,Malaga,398,km2,https://www.google.com/search?q=Malaga+surface+area
648,Ibague,1.439,km2,https://www.google.com/search?q=Ibague+surface+area
649,Dortmund,280.7,km2,https://www.google.com/search?q=Dortmund+surface+area
650,Kagoshima,547.6,km2,https://www.google.com/search?q=Kagoshima+surface+area
651,Cabimas,157,km2,https://www.google.com/search?q=Cabimas+surface+area
652,Milwaukee,250.7,km2,https://www.google.com/search?q=Milwaukee+surface+area
653,Samut Sakhon,10.33,km2,https://www.google.com/search?q=Samut+Sakhon+surface+area
654,Beira,633,km2,https://www.google.com/search?q=Beira+surface+area
655,Djibouti,23.200,km2,https://www.google.com/search?q=Djibouti+surface+area
656,Essen,210.3,km2,https://www.google.com/search?q=Essen+surface+area
657,Dresden,328.8,km2,https://www.google.com/search?q=Dresden+surface+area
658,Bouake,71.79,km2,https://www.google.com/search?q=Bouake+surface+area
659,Udaipur,37,km2,https://www.google.com/search?q=Udaipur+surface+area
660,Vellore,87.92,km2,https://www.google.com/search?q=Vellore+surface+area
661,Thoothukkudi,353,km2,https://www.google.com/search?q=Thoothukkudi+surface+area
662,Bloemfontein,236.2,km2,https://www.google.com/search?q=Bloemfontein+surface+area
663,Udon Thani,47.7,km2,https://www.google.com/search?q=Udon+Thani+surface+area
664,Jalgaon,68.24,km2,https://www.google.com/search?q=Jalgaon+surface+area
665,Zaoyang,3.277,km2,https://www.google.com/search?q=Zaoyang+surface+area
