city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Hà Nội,81,PM2.5,31,6,24,67,491,42,0,0,0,0
Nam Định,58,PM2.5,26,8,13,41,506,10,0,0,0,0
Bắc Giang,57,PM2.5,27,4,13,36,447,6,0,0,0,0
New York,52,PM2.5,14,0,14,37,417,21,4,26,0,0
