city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Jingzhou Hubei,55,PM2.5,7,3,13,19,493,43,0,7,0,0
Ma'anshan,22,O3,19,0,3,5,85,0,0,0,0,0
Zhaoqing,108,PM2.5,20,5,44,88,1025,54,0,0,0,0
Rupganj,183,PM2.5,32,10,165,165,454,8,0,8,0,0
Antwerp,63,PM2.5,6,0,16,20,505,11,5,0,1,0
Penza,60,PM2.5,10,1,16,28,129,21,0,0,0,0
Xiongan,42,PM2.5,8,0,13,39,220,20,2,18,0,0
Bien Hoa,81,PM2.5,4,9,22,57,766,30,0,0,0,0
Johor Bahru,146,PM2.5,17,8,65,84,743,32,0,0,0,0
Solapur,106,PM2.5,38,5,40,88,218,20,5,25,1,0
Porto Velho,56,PM2.5,22,0,12,43,293,41,1,15,0,120
Samarinda,93,PM2.5,6,1,34,34,282,11,0,0,0,0
Davanagere,64,PM2.5,12,2,21,45,1138,6,5,17,0,0
Toulouse,58,PM2.5,19,0,13,20,128,22,5,54,0,0
Qianjiang,170,PM2.5,7,10,99,143,1139,48,0,0,0,0
Mersin,120,PM2.5,9,4,44,90,1294,71,0,0,0,0
Chuxiong,40,PM2.5,24,3,12,18,559,4,0,0,0,0
Hargeysa,120,PM2.5,9,4,44,90,1294,71,0,0,0,0
Songyuan,59,PM2.5,19,2,18,32,381,10,0,0,0,0
Duisburg,54,PM2.5,4,3,16,25,299,12,17,0,0,0
Nakhon Pathom,97,PM2.5,32,1,28,88,680,56,0,0,0,0
Fuzhou Jiangxi,111,PM2.5,17,5,47,101,887,44,0,0,0,0
Muzaffarpur,171,PM2.5,31,2,92,125,1286,38,3,22,1,0
Aracaju,55,PM2.5,26,1,15,29,105,13,0,0,0,0
Mataram,31,PM2.5,19,0,7,11,220,3,0,0,0,0
Leshan,120,PM2.5,11,3,44,102,781,21,0,0,0,0
Yueyang,133,PM2.5,36,4,49,111,874,32,0,0,0,0
Dezhou,108,PM2.5,19,4,41,126,874,33,0,0,0,0
Changge,145,PM2.5,22,3,63,94,882,27,0,0,0,0
Marrakech,30,O3,43,1,4,8,110,0,0,0,0,0
Kirov,57,PM2.5,20,1,18,31,124,34,0,0,0,0
Tampico,31,PM2.5,28,5,8,13,168,2,0,0,0,0
Kuantan,80,PM2.5,20,0,20,48,266,14,0,0,0,0
Huzhou,55,PM2.5,12,2,11,45,488,28,0,0,0,0
Xingning,84,PM2.5,16,2,34,50,826,27,0,0,0,0
Rotterdam,52,PM2.5,23,1,14,14,260,15,1,0,3,0
Kandahar,18,O3,14,1,5,11,335,16,6,25,0,0
Austin,56,PM2.5,8,0,14,27,300,16,0,3,0,0
San Jose,67,PM2.5,0,1,18,27,1488,23,51,73,0,0
Denpasar,56,PM2.5,19,0,20,39,168,11,0,0,0,0
Nurenberg,39,PM2.5,4,1,12,12,317,12,19,0,0,0
Odesa,77,PM2.5,28,1,28,36,140,28,0,0,0,0
Chenzhou,77,PM2.5,28,1,28,36,140,28,0,0,0,0
Xuchang,137,PM2.5,21,3,55,94,946,27,0,0,0,0
Volgograd,59,PM2.5,6,1,18,25,215,21,0,0,0,0
Saltillo,68,PM2.5,25,6,20,30,437,8,0,0,0,0
San Miguel de Tucuman,43,PM2.5,28,1,10,20,90,20,0,0,0,0
Asmara,43,PM2.5,28,1,10,20,90,20,0,0,0,0
Padang,74,PM2.5,24,1,21,58,343,22,0,0,0,0
Cebu City,55,PM2.5,22,1,10,24,83,5,0,0,0,0
Acapulco de Juarez,51,PM2.5,34,6,13,20,253,16,0,0,0,0
Bournemouth,31,PM2.5,30,0,7,30,134,22,7,15,0,0
Valparaiso,70,PM2.5,12,5,22,40,425,14,0,0,0,0
Jinjiang,87,PM2.5,11,2,32,66,436,20,2,23,0,0
Khon-Kaen,91,PM2.5,43,3,31,40,319,10,0,0,0,0
Cheboksary,57,PM2.5,18,1,16,23,125,20,0,0,0,0
Kayseri,99,PM2.5,4,3,39,64,664,63,0,0,0,0
Matsuyama,55,PM2.5,23,2,14,43,371,28,1,11,0,80
Warangal,140,PM2.5,24,4,58,94,600,16,2,16,3,0
Tanta,74,PM2.5,14,6,24,40,165,20,0,0,0,0
Changshu,52,PM2.5,15,3,12,34,525,29,0,0,0,0
Shuangyashan,100,PM2.5,34,3,37,76,534,12,0,0,0,0
Lipetsk,155,PM2.5,10,3,67,75,227,26,0,0,0,0
Bordeaux,25,PM2.5,27,2,6,20,128,3,9,8,0,0
Songkhla,32,PM2.5,26,1,7,17,226,15,0,0,0,0
Changyi,44,O3,23,11,10,27,576,22,0,0,0,0
Qujing,56,PM2.5,19,3,18,47,698,19,0,0,0,0
Nonthaburi,149,PM2.5,47,3,61,126,572,40,0,0,0,0
Yichun Jiangxi,106,PM2.5,19,3,34,68,276,15,1,15,0,0
Murcia,34,O3,38,3,2,9,436,3,3,6,0,0
Malatya,91,PM10,21,3,31,123,236,25,0,0,0,0
Krasnodar,76,PM2.5,23,2,24,31,191,32,0,0,0,0
Guang-an,28,PM2.5,21,2,6,18,63,2,0,0,0,0
Cancun,37,O3,42,0,6,11,104,1,0,0,0,0
Tirana,32,O3,37,0,4,5,123,3,0,0,0,0
Surat Thani,124,PM2.5,50,3,42,72,400,26,0,0,0,0
Kansas City,39,PM10,13,0,12,35,160,21,2,14,0,0
Ubon Ratchathani,69,PM2.5,52,6,25,70,170,19,0,0,0,0
Xintai,44,PM2.5,8,0,12,37,210,21,2,15,0,0
Jixi Heilongjiang,115,PM2.5,7,4,47,85,833,37,0,0,0,0
Jianyang,114,PM2.5,17,2,43,83,559,20,0,0,0,0
Morelia,88,PM2.5,8,7,30,60,1241,8,0,0,0,0
Douai-Lens,20,O3,27,2,2,2,143,1,1,5,0,0
Pingxiang Jiangxi,143,PM2.5,19,2,44,106,304,29,1,11,0,0
Nanping,87,PM2.5,3,2,32,56,699,24,1,5,0,0
Dnipro,96,PM2.5,19,2,26,48,172,29,0,0,0,0
