,URL
0,Beijing
1,Mumbai
2,Osaka
3,Karachi
4,Chongqing
5,Istanbul
6,Buenos Aires
7,Kolkata
8,Kinshasa
9,Lagos
10,Tehran
11,Luanda
12,Baghdad
13,Dar es Salaam
14,Yangon
15,Abidjan
16,Kabul
17,Yaounde
18,Douala
19,Xiamen
20,Ibadan
21,Antananarivo
22,Kumasi
23,Abuja
24,Asuncion
25,Santo Domingo
26,Mashhad
27,Dakar
28,Pyongyang
29,Guatemala City
30,Ouagadougou
31,Lusaka
32,Port-au-Prince
33,Algiers
34,Bamako
35,Mbuji-Mayi
36,Accra
37,Tashkent
38,Brazzaville
39,Beirut
40,Tunis
41,Mogadishu
42,Esfahan
43,Phnom Penh
44,Havana
45,Aleppo
46,Taizhou Zhejiang
47,Conakry
48,Linyi Shandong
49,Almaty
50,Panama City
51,Lome
52,Benin City
