,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Yaounde
9,Douala
10,Ibadan
11,Antananarivo
12,Kumasi
13,Abuja
14,Asuncion
15,Santo Domingo
16,Port Harcourt
17,Pyongyang
18,Guatemala City
19,Ouagadougou
20,Lusaka
21,Port-au-Prince
22,Algiers
23,Bamako
24,Mbuji-Mayi
25,Brazzaville
26,Damascus
27,Beirut
28,Tunis
29,Mogadishu
30,Kannur
31,Esfahan
32,Phnom Penh
33,Havana
34,Aleppo
35,Taizhou Zhejiang
36,Conakry
37,Linyi Shandong
38,Kollam
39,Almaty
40,Yancheng Jiangsu
41,Lome
42,Benin City
