,URL
0,Mexico City
1,Dhaka
2,Cairo
3,Beijing
4,Mumbai
5,Osaka
6,Karachi
7,Chongqing
8,Istanbul
9,Buenos Aires
10,Kolkata
11,Kinshasa
12,Lagos
13,Tehran
14,Luanda
15,Baghdad
16,Dar es Salaam
17,Khartoum
18,Yangon
19,Rome
20,Yaounde
21,Kano
22,Douala
23,Ibadan
24,Antananarivo
25,Kumasi
26,Abuja
27,Asuncion
28,Santo Domingo
29,Dakar
30,Port Harcourt
31,Guatemala City
32,Ouagadougou
33,Lusaka
34,Port-au-Prince
35,Algiers
36,Bamako
37,Mbuji-Mayi
38,Birmingham
39,Vancouver
40,Accra
41,Tashkent
42,Damascus
43,Beirut
44,Tunis
45,Mogadishu
46,Esfahan
47,Phnom Penh
48,Havana
49,Perth
50,Aleppo
51,Taizhou Zhejiang
52,Conakry
53,Linyi Shandong
54,Vienna
55,Kollam
56,Almaty
57,Panama City
58,Lome
59,Benin City
