,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Yangon
7,Guadalajara
8,Yaounde
9,Kano
10,Los Angeles
11,Taiyuan Shanxi
12,Nanning
13,Salvador
14,Douala
15,Ibadan
16,Antananarivo
17,Kumasi
18,Abuja
19,Santo Domingo
20,Mashhad
21,Dakar
22,Port Harcourt
23,Pyongyang
24,Guatemala City
25,Ouagadougou
26,Lusaka
27,Port-au-Prince
28,Algiers
29,Bamako
30,Mbuji-Mayi
31,Accra
32,Tashkent
33,Brazzaville
34,Damascus
35,Beirut
36,Tunis
37,Esfahan
38,Phnom Penh
39,Havana
40,Conakry
41,Linyi Shandong
42,Almaty
43,Panama City
44,Lome
45,Benin City
