,URL
0,Tokyo
1,Kinshasa
2,Lagos
3,Tehran
4,Luanda
5,Baghdad
6,Dar es Salaam
7,Khartoum
8,Yangon
9,Abidjan
10,Kabul
11,Kano
12,Douala
13,Antananarivo
14,Kumasi
15,Abuja
16,Mashhad
17,Dakar
18,Port Harcourt
19,Lanzhou
20,Pyongyang
21,Guatemala City
22,Ouagadougou
23,Lusaka
24,Port-au-Prince
25,Algiers
26,Bamako
27,Mbuji-Mayi
28,Tashkent
29,Brazzaville
30,Damascus
31,Beirut
32,Tunis
33,Mogadishu
34,Esfahan
35,Phnom Penh
36,Havana
37,Aleppo
38,Taizhou Zhejiang
39,Conakry
40,Linyi Shandong
41,Almaty
42,Panama City
43,Lome
44,Benin City
