,URL
0,Kinshasa
1,Lagos
2,Lima
3,Bangkok
4,Tehran
5,Luanda
6,New York City
7,Baghdad
8,Dar es Salaam
9,Khartoum
10,Yangon
11,Abidjan
12,Kabul
13,Yaounde
14,Kano
15,Douala
16,Ibadan
17,Antananarivo
18,Kumasi
19,Abuja
20,Asuncion
21,Santo Domingo
22,Mashhad
23,Dakar
24,Port Harcourt
25,Pyongyang
26,Guatemala City
27,Ouagadougou
28,Lusaka
29,Port-au-Prince
30,Algiers
31,Bamako
32,Mbuji-Mayi
33,Accra
34,Tashkent
35,Brazzaville
36,Damascus
37,Beirut
38,Tunis
39,Mogadishu
40,Esfahan
41,Phnom Penh
42,Havana
43,Aleppo
44,Taizhou Zhejiang
45,Conakry
46,Linyi Shandong
47,Vienna
48,Almaty
49,Quito
50,Panama City
51,Lome
52,Davao City
