,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Yangon
7,Abidjan
8,Kabul
9,Yaounde
10,Kano
11,Douala
12,Ibadan
13,Antananarivo
14,Kumasi
15,Abuja
16,Santo Domingo
17,Mashhad
18,Dakar
19,Kuwait City
20,Durban
21,Port Harcourt
22,Pyongyang
23,Guatemala City
24,Dubai
25,Ouagadougou
26,Lusaka
27,Port-au-Prince
28,Algiers
29,Bamako
30,Mbuji-Mayi
31,Accra
32,Tashkent
33,Brazzaville
34,Damascus
35,Beirut
36,Tunis
37,Mogadishu
38,Esfahan
39,Phnom Penh
40,Havana
41,Aleppo
42,Taizhou Zhejiang
43,Conakry
44,Linyi Shandong
45,Almaty
46,Panama City
47,Benin City
