,URL
0,Tokyo
1,Kinshasa
2,Lagos
3,Tehran
4,Nanjing
5,Luanda
6,New York City
7,Kuala Lumpur
8,Surat
9,Baghdad
10,Dar es Salaam
11,Khartoum
12,Saint Petersburg
13,Yangon
14,Abidjan
15,Addis Ababa
16,Kabul
17,Kano
18,Douala
19,Ibadan
20,Antananarivo
21,Kumasi
22,Abuja
23,Asuncion
24,Santo Domingo
25,Mashhad
26,Lanzhou
27,Pyongyang
28,Guatemala City
29,Ouagadougou
30,Lusaka
31,Port-au-Prince
32,Algiers
33,Bamako
34,Mbuji-Mayi
35,Tunis
36,Mogadishu
37,Esfahan
38,Phnom Penh
39,Havana
40,Aleppo
41,Taizhou Zhejiang
42,Conakry
43,Linyi Shandong
44,Almaty
45,Panama City
46,Lome
47,Benin City
