,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Abidjan
9,Kabul
10,Yaounde
11,Douala
12,Wenzhou
13,Ibadan
14,Berlin
15,Antananarivo
16,Kumasi
17,Kampala
18,Busan
19,Abuja
20,Asuncion
21,Santo Domingo
22,Campinas
23,Puebla
24,Thrissur
25,Milan
26,Pyongyang
27,Guatemala City
28,Ouagadougou
29,Lusaka
30,Port-au-Prince
31,Algiers
32,Bamako
33,Mbuji-Mayi
34,Brazzaville
35,Bhopal
