,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Kuala Lumpur
5,Baghdad
6,Dar es Salaam
7,Belo Horizonte
8,Khartoum
9,Yangon
10,Abidjan
11,Ankara
12,Addis Ababa
13,Kabul
14,Yaounde
15,Kano
16,Douala
17,Ibadan
18,Antananarivo
19,Kumasi
20,Asuncion
21,Santo Domingo
22,Mashhad
23,Dakar
24,Port Harcourt
25,Pyongyang
26,Guatemala City
27,Ouagadougou
28,Lusaka
29,Algiers
30,Bamako
31,Mbuji-Mayi
32,Accra
33,Tashkent
34,Brazzaville
35,Damascus
36,Beirut
37,Tunis
38,Mogadishu
39,Esfahan
40,Phnom Penh
41,Havana
42,Nashik
43,Aleppo
44,Taizhou Zhejiang
45,Conakry
46,Linyi Shandong
47,Almaty
48,Rabat
49,Panama City
50,Lome
51,Benin City
