,URL
0,Kinshasa
1,Lagos
2,Bogota
3,Tehran
4,Luanda
5,Kuala Lumpur
6,Hangzhou
7,Hong Kong
8,Surat
9,Dongguan
10,Suzhou
11,Foshan
12,Riyadh
13,Shenyang
14,Baghdad
15,Dar es Salaam
16,Khartoum
17,Abidjan
18,Kabul
19,Rome
20,Yaounde
21,Kano
22,Ibadan
23,Antananarivo
24,Bekasi
25,Kumasi
26,Abuja
27,Asuncion
28,Santo Domingo
29,Mashhad
30,Dakar
31,Lanzhou
32,Pyongyang
33,Guatemala City
34,Lisbon
35,Ouagadougou
36,Lusaka
37,Port-au-Prince
38,Algiers
39,Bamako
40,Mbuji-Mayi
41,Accra
42,Tashkent
43,Brazzaville
44,Beirut
45,Tunis
46,Mogadishu
47,Esfahan
48,Phnom Penh
49,Havana
50,Aleppo
51,Taizhou Zhejiang
52,Conakry
53,Linyi Shandong
54,Almaty
55,Panama City
56,Lome
57,Benin City
