,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Abidjan
9,Yaounde
10,Kano
11,Changzhou
12,Ibadan
13,Antananarivo
14,Bekasi
15,Kumasi
16,Abuja
17,Asuncion
18,Santo Domingo
19,Dakar
20,Port Harcourt
21,Guatemala City
22,Ouagadougou
23,Lusaka
24,Port-au-Prince
25,Algiers
26,Bamako
27,Mbuji-Mayi
28,Accra
29,Tashkent
30,Damascus
31,Beirut
32,Tunis
33,Mogadishu
34,Rawalpindi
35,Esfahan
36,Phnom Penh
37,Havana
38,Conakry
39,Linyi Shandong
40,Almaty
41,Panama City
42,Lome
43,Benin City
