,URL
0,Dhaka
1,Karachi
2,Kinshasa
3,Lagos
4,Guangzhou
5,Tehran
6,Luanda
7,Baghdad
8,Dar es Salaam
9,Yangon
10,Abidjan
11,Guadalajara
12,Jiddah
13,Changsha
14,Yaounde
15,Kano
16,Douala
17,Ibadan
18,Antananarivo
19,Kumasi
20,Abuja
21,Asuncion
22,Santo Domingo
23,Mashhad
24,Dakar
25,Port Harcourt
26,Pyongyang
27,Guatemala City
28,Dubai
29,Ouagadougou
30,Lusaka
31,Port-au-Prince
32,Algiers
33,Bamako
34,Mbuji-Mayi
35,Accra
36,Tashkent
37,Brazzaville
38,Damascus
39,Tunis
40,Mogadishu
41,Esfahan
42,Phnom Penh
43,Havana
44,Aleppo
45,Taizhou Zhejiang
46,Conakry
47,Linyi Shandong
48,Almaty
49,Panama City
50,Lome
51,Davao City
52,Benin City
