,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Santiago
7,Khartoum
8,Yangon
9,Abidjan
10,Kabul
11,Kano
12,Douala
13,Ibadan
14,Antananarivo
15,Kumasi
16,Abuja
17,Asuncion
18,Santo Domingo
19,Mashhad
20,Dakar
21,Port Harcourt
22,Pyongyang
23,Guatemala City
24,Ouagadougou
25,Lusaka
26,Port-au-Prince
27,Algiers
28,Bamako
29,Mbuji-Mayi
30,Tashkent
31,Brazzaville
32,Damascus
33,Beirut
34,Tunis
35,Mogadishu
36,Havana
37,Aleppo
38,Taizhou Zhejiang
39,Conakry
40,Linyi Shandong
41,Almaty
42,Panama City
43,Lome
44,Benin City
