,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Yangon
5,Abidjan
6,Kabul
7,Yaounde
8,Kano
9,Douala
10,Ibadan
11,Antananarivo
12,Kumasi
13,Abuja
14,Asuncion
15,Santo Domingo
16,Thrissur
17,Port Harcourt
18,Pyongyang
19,Guatemala City
20,Ouagadougou
21,Lusaka
22,Port-au-Prince
23,Algiers
24,Bamako
25,Mbuji-Mayi
26,Tashkent
27,Brazzaville
