,URL
0,Lagos
1,Tehran
2,Luanda
3,Dar es Salaam
4,Khartoum
5,Yangon
6,Abidjan
7,Kabul
8,Yaounde
9,Kano
10,Ibadan
11,Antananarivo
12,Kumasi
13,Abuja
14,Santo Domingo
15,Mashhad
16,Dakar
17,Port Harcourt
18,Pyongyang
19,Guatemala City
20,Ouagadougou
21,Lusaka
22,Port-au-Prince
23,Algiers
24,Bamako
25,Mbuji-Mayi
26,Damascus
27,Beirut
28,Tunis
29,Mogadishu
30,Esfahan
31,Phnom Penh
32,Havana
33,Almaty
34,Panama City
35,Benin City
