,URL
0,Mexico City
1,Buenos Aires
2,Lagos
3,Manila
4,Bogota
5,Tehran
6,Nanjing
7,Luanda
8,Baghdad
9,Dar es Salaam
10,Pune
11,Ji-nan Shandong
12,Saint Petersburg
13,Yangon
14,Abidjan
15,Chittagong
16,Addis Ababa
17,Shantou
18,Kabul
19,Yaounde
20,Porto Alegre
21,Kano
22,Douala
23,Fuzhou Fujian
24,Ibadan
25,Antananarivo
26,Kumasi
27,Busan
28,Guiyang
29,Asuncion
30,Santo Domingo
31,Mashhad
32,Dakar
33,Thrissur
34,Kuwait City
35,Port Harcourt
36,Milan
37,Guayaquil
38,Guatemala City
39,Lusaka
40,Algiers
41,Bamako
42,Thiruvananthapuram
43,Mbuji-Mayi
44,Bandung
45,Tashkent
46,Patna
47,Luoyang
48,Brisbane
49,Tunis
50,Mogadishu
51,Esfahan
52,Phnom Penh
53,Havana
54,Aleppo
55,Taizhou Zhejiang
56,Conakry
57,Linyi Shandong
58,Almaty
59,Quito
60,Panama City
61,Adana
