,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Kuala Lumpur
4,Hong Kong
5,Baghdad
6,Dar es Salaam
7,Yangon
8,Abidjan
9,Yaounde
10,Kano
11,Douala
12,Ibadan
13,Antananarivo
14,Kumasi
15,Abuja
16,Santo Domingo
17,Mashhad
18,Dakar
19,Port Harcourt
20,Pyongyang
21,Guatemala City
22,Ouagadougou
23,Lusaka
24,Port-au-Prince
25,Algiers
26,Bamako
27,Mbuji-Mayi
28,Tashkent
29,Brazzaville
30,Damascus
31,Beirut
32,Tunis
33,Mogadishu
34,Esfahan
35,Phnom Penh
36,Havana
37,Aleppo
38,Taizhou Zhejiang
39,Conakry
40,Linyi Shandong
41,Almaty
42,Panama City
43,Lome
44,Benin City
