,URL
0,Mexico City
1,Dhaka
2,Cairo
3,Beijing
4,Mumbai
5,Osaka
6,Karachi
7,Chongqing
8,Istanbul
9,Buenos Aires
10,Kolkata
11,Kinshasa
12,Lagos
13,Luanda
14,Baghdad
15,Dar es Salaam
16,Yangon
17,Kabul
18,Yaounde
19,Kano
20,Douala
21,Ibadan
22,Antananarivo
23,Kumasi
24,Abuja
25,Asuncion
26,Santo Domingo
27,Mashhad
28,Dakar
29,Port Harcourt
30,Pyongyang
31,Guatemala City
32,Ouagadougou
33,Lusaka
34,Port-au-Prince
35,Algiers
36,Bamako
37,Mbuji-Mayi
38,Accra
39,Tashkent
40,Brazzaville
41,Damascus
42,Beirut
43,Tunis
44,Mogadishu
45,Esfahan
46,Phnom Penh
47,Havana
48,Aleppo
49,Taizhou Zhejiang
50,Conakry
51,Linyi Shandong
52,Almaty
53,Panama City
54,Lome
55,Benin City
