,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Hong Kong
5,Baghdad
6,Dar es Salaam
7,Yangon
8,Abidjan
9,Kabul
10,Yaounde
11,Ibadan
12,Antananarivo
13,Kumasi
14,Abuja
15,Asuncion
16,Santo Domingo
17,Mashhad
18,Dakar
19,Port Harcourt
20,Pyongyang
21,Guatemala City
22,Ouagadougou
23,Lusaka
24,Port-au-Prince
25,Algiers
26,Bamako
27,Accra
28,Tashkent
29,Brazzaville
30,Damascus
31,Beirut
32,Tunis
33,Esfahan
34,Phnom Penh
35,Havana
36,Aleppo
37,Taizhou Zhejiang
38,Conakry
39,Linyi Shandong
40,Almaty
41,Panama City
42,Lome
43,Benin City
