,URL
0,Cairo
1,Buenos Aires
2,Lagos
3,Rio de Janeiro
4,Tehran
5,Luanda
6,Wuhan
7,Baghdad
8,Dar es Salaam
9,Khartoum
10,Yangon
11,Kabul
12,Yaounde
13,Kano
14,Douala
15,Ibadan
16,Antananarivo
17,Kumasi
18,Abuja
19,Guiyang
20,Asuncion
21,Santo Domingo
22,Mashhad
23,Dakar
24,Port Harcourt
25,Pyongyang
26,Guatemala City
27,Ouagadougou
28,Lusaka
29,Port-au-Prince
30,Algiers
31,Thiruvananthapuram
32,Mbuji-Mayi
33,Accra
34,Tashkent
35,Brazzaville
36,Damascus
37,Beirut
38,Tunis
39,Mogadishu
40,Maracaibo
41,Amman
42,Esfahan
43,Phnom Penh
44,Havana
45,Brussels
46,Aleppo
47,Taizhou Zhejiang
48,Conakry
49,Linyi Shandong
50,Almaty
51,Panama City
52,Lome
53,Benin City
