,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Abidjan
9,Kabul
10,Yaounde
11,Douala
12,Ibadan
13,Antananarivo
14,Kumasi
15,Abuja
16,Asuncion
17,Santo Domingo
18,Wuxi
19,Mashhad
20,Dakar
21,Port Harcourt
22,Athens
23,Pyongyang
24,Guatemala City
25,Ouagadougou
26,Lusaka
27,Port-au-Prince
28,Algiers
29,Bamako
30,Mbuji-Mayi
31,Birmingham
32,Accra
33,Tashkent
34,Brazzaville
35,Damascus
36,Beirut
37,Tunis
38,Mogadishu
39,Esfahan
40,Phnom Penh
41,Havana
42,Aleppo
43,Taizhou Zhejiang
44,Conakry
45,Linyi Shandong
46,Almaty
47,Panama City
48,Lome
