,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Nanjing
4,Luanda
5,Baghdad
6,Dar es Salaam
7,Khartoum
8,Yangon
9,Abidjan
10,Kabul
11,Yaounde
12,Kano
13,Douala
14,Ibadan
15,Antananarivo
16,Kumasi
17,Abuja
18,Asuncion
19,Santo Domingo
20,Mashhad
21,Dakar
22,Port Harcourt
23,Pyongyang
24,Guatemala City
25,Ouagadougou
26,Lusaka
27,Port-au-Prince
28,Algiers
29,Chicago
30,Mbuji-Mayi
31,Accra
32,Tashkent
33,Brazzaville
34,Damascus
35,Beirut
36,Tunis
37,Mogadishu
38,Phnom Penh
39,Havana
40,Taizhou Zhejiang
41,Conakry
42,Linyi Shandong
43,Almaty
44,Panama City
45,Lome
46,Benin City
