,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Dar es Salaam
5,Khartoum
6,Yangon
7,Abidjan
8,Kabul
9,Yaounde
10,Kano
11,Douala
12,Ibadan
13,Antananarivo
14,Kumasi
15,Kampala
16,Abuja
17,Asuncion
18,Santo Domingo
19,Mashhad
20,Dakar
21,Pyongyang
22,Guatemala City
23,Lusaka
24,Algiers
25,Bamako
26,Thiruvananthapuram
27,Mbuji-Mayi
28,Tashkent
29,Brazzaville
30,Beirut
31,Tunis
32,Mogadishu
33,Baku
34,Phnom Penh
35,Havana
36,Aleppo
37,Taizhou Zhejiang
38,Conakry
39,Linyi Shandong
40,Almaty
41,Panama City
42,Lome
43,Benin City
