,URL
0,Mexico City
1,Dhaka
2,Cairo
3,Beijing
4,Mumbai
5,Osaka
6,Karachi
7,Chongqing
8,Istanbul
9,Buenos Aires
10,Kolkata
11,Kinshasa
12,Lagos
13,Tehran
14,Luanda
15,Baghdad
16,Dar es Salaam
17,Yangon
18,Abidjan
19,Kabul
20,Yaounde
21,Kano
22,Douala
23,Ibadan
24,Antananarivo
25,Kumasi
26,Abuja
27,Asuncion
28,Santo Domingo
29,Mashhad
30,Dakar
31,Port Harcourt
32,Pyongyang
33,Guatemala City
34,Ouagadougou
35,Lusaka
36,Port-au-Prince
37,Algiers
38,Bamako
39,Mbuji-Mayi
40,Brazzaville
41,Damascus
42,Beirut
43,Tunis
44,Mogadishu
45,Esfahan
46,Phnom Penh
47,Havana
48,Aleppo
49,Taizhou Zhejiang
50,Conakry
51,Linyi Shandong
52,Almaty
53,Panama City
54,Lome
55,Benin City
