,URL
0,Kinshasa
1,Lagos
2,Tehran
3,Luanda
4,Baghdad
5,Dar es Salaam
6,Khartoum
7,Yangon
8,Abidjan
9,Kabul
10,Yaounde
11,Kano
12,Douala
13,Ibadan
14,Antananarivo
15,Kumasi
16,Abuja
17,Santo Domingo
18,Mashhad
19,Dakar
20,Port Harcourt
21,Pyongyang
22,Guatemala City
23,Ouagadougou
24,Lusaka
25,Port-au-Prince
26,Algiers
27,Bamako
28,Sapporo
29,Pretoria
30,Mbuji-Mayi
31,Accra
32,Tashkent
33,Damascus
34,Beirut
35,Tunis
36,Mogadishu
37,Esfahan
38,Phnom Penh
39,Havana
40,Aleppo
41,Taizhou Zhejiang
42,Conakry
43,Linyi Shandong
44,Almaty
45,Panama City
46,Lome
47,Benin City
