,URL
0,Sao Paulo
1,Buenos Aires
2,Kinshasa
3,Lagos
4,Bangalore
5,Moscow
6,Tehran
7,Baghdad
8,Dar es Salaam
9,Santiago
10,Khartoum
11,Yangon
12,Abidjan
13,Kabul
14,Yaounde
15,Kano
16,Douala
17,Ibadan
18,Antananarivo
19,Kumasi
20,Abuja
21,Asuncion
22,Santo Domingo
23,Mashhad
24,Dakar
25,Port Harcourt
26,Guatemala City
27,Ouagadougou
28,Lusaka
29,Port-au-Prince
30,Algiers
31,Bamako
32,Thiruvananthapuram
33,Mbuji-Mayi
34,Accra
35,Tashkent
36,Brazzaville
37,Damascus
38,Tunis
39,Esfahan
40,Phnom Penh
41,Havana
42,Aleppo
43,Taizhou Zhejiang
44,Conakry
45,Linyi Shandong
46,Panama City
47,Lome
