,URL
0,Buenos Aires
1,Lagos
2,Tehran
3,Luanda
4,New York City
5,Kuala Lumpur
6,Baghdad
7,Dar es Salaam
8,Khartoum
9,Yangon
10,Abidjan
11,Kabul
12,Yaounde
13,Kano
14,Douala
15,Ibadan
16,Antananarivo
17,Kumasi
18,Abuja
19,Asuncion
20,Santo Domingo
21,Mashhad
22,Dakar
23,Port Harcourt
24,Pyongyang
25,Guatemala City
26,Ouagadougou
27,Lusaka
28,Port-au-Prince
29,Algiers
30,Manchester
31,Bamako
32,Mbuji-Mayi
33,Accra
34,Tashkent
35,Damascus
36,Beirut
37,Tunis
38,Mogadishu
39,Esfahan
40,Phnom Penh
41,Havana
42,Aleppo
43,Taizhou Zhejiang
44,Conakry
45,Linyi Shandong
46,Almaty
47,Panama City
48,Lome
49,Benin City
