,URL
0,Shanghai
1,Mexico City
2,Dhaka
3,Cairo
4,Beijing
5,Mumbai
6,Osaka
7,Karachi
8,Chongqing
9,Istanbul
10,Buenos Aires
11,Kolkata
12,Kinshasa
13,Lagos
14,Tehran
15,Luanda
16,Baghdad
17,Dar es Salaam
18,Yangon
19,Abidjan
20,Kabul
21,Yaounde
22,Kano
23,Douala
24,Ibadan
25,Antananarivo
26,Kumasi
27,Abuja
28,Asuncion
29,Santo Domingo
30,Mashhad
31,Dakar
32,Port Harcourt
33,Pyongyang
34,Guatemala City
35,Ouagadougou
36,Lusaka
37,Port-au-Prince
38,Algiers
39,Bamako
40,Mbuji-Mayi
41,Accra
42,Tashkent
43,Brazzaville
44,Damascus
45,Brisbane
46,Beirut
47,Tunis
48,Mogadishu
49,Houston
50,Esfahan
51,Phnom Penh
52,Havana
53,Aleppo
54,Taizhou Zhejiang
55,Conakry
56,Linyi Shandong
57,Almaty
58,Panama City
59,Lome
60,Benin City
