,URL
0,Enugu
1,Zanzibar
2,Oshogbo
3,Malanje
4,Cotonou
5,Vientiane
6,Akure
7,Sokoto
8,As-Suways
9,Irkutsk
10,Barnaul
11,Nay Pyi Taw
12,Bulawayo
13,Khabarovsk
14,Bandar Abbas
15,Bissau
16,Zahedan
17,Vladivostok
18,Calabar
19,Tomsk
20,Mbeya
21,Samarkand
22,Beira
23,Djibouti
24,Bouake
25,Kemerovo
26,Karbala
27,Sakarya
28,Utrecht
29,Port of Spain
30,Kerman
31,Abeokuta
32,Mekele
33,Hannover
34,Gombe
35,Kikwit
36,Cuautla Morelos
37,Kalasin
38,Atlanta
39,Rupganj
40,Penza
41,Porto Velho
42,Chuxiong
43,Duisburg
44,Muzaffarpur
45,Changge
46,Kuantan
47,Kandahar
48,Nurenberg
49,London CA
50,Bournemouth
51,Khon-Kaen
52,Cheboksary
53,Lipetsk
54,Arusha
55,Murcia
56,Tirana
57,Surat Thani
58,Kansas City
