,URL
0,Enugu
1,Lokoja
2,Zanzibar
3,Oshogbo
4,Malanje
5,Cotonou
6,Vientiane
7,Akure
8,Sokoto
9,As-Suways
10,Irkutsk
11,Barnaul
12,Nay Pyi Taw
13,Bulawayo
14,Khabarovsk
15,Bandar Abbas
16,Bissau
17,Zahedan
18,Vladivostok
19,Calabar
20,Tomsk
21,Mbeya
22,Samarkand
23,Malaga
24,Beira
25,Djibouti
26,Bloemfontein
27,Udon Thani
28,Baltimore
29,Kitchener
30,Kemerovo
31,Bremen
32,Karbala
33,Kota Kinabalu
34,Panipat
35,Irbid
36,Hamhung
37,Port of Spain
38,Mekele
39,Gombe
40,Kikwit
41,Arusha
