,URL
0,Enugu
1,Lokoja
2,Zanzibar
3,Oshogbo
4,Mangalore
5,Malanje
6,Cotonou
7,Vientiane
8,Akure
9,Sokoto
10,As-Suways
11,Irkutsk
12,Barnaul
13,Nay Pyi Taw
14,Bulawayo
15,Khabarovsk
16,Bandar Abbas
17,Bissau
18,Zahedan
19,Vladivostok
20,Calabar
21,Tomsk
22,Mbeya
23,Samarkand
24,Beira
25,Djibouti
26,Bouake
27,Kemerovo
28,Hamhung
29,Port of Spain
30,Abeokuta
31,Gombe
32,Kikwit
33,Arusha
