,URL
0,Enugu
1,Lokoja
2,Zanzibar
3,Oshogbo
4,Sargodha
5,Malanje
6,Cotonou
7,Vientiane
8,Akure
9,El Paso
10,Sokoto
11,As-Suways
12,Irkutsk
13,Barnaul
14,Nay Pyi Taw
15,Bulawayo
16,Khabarovsk
17,Bandar Abbas
18,Bissau
19,Zahedan
20,San Jose del Monte
21,Yaroslavl
22,Feira De Santana
23,Vladivostok
24,Calabar
25,Tomsk
26,Mbeya
27,Malaga
28,Beira
29,Djibouti
30,Bouake
31,Udon Thani
32,Kemerovo
33,Karbala
34,Hamhung
35,Port of Spain
36,Abeokuta
37,Mekele
38,Gombe
39,Poznan
40,Kikwit
41,Arusha
