,URL
0,Barcelona-Puerto La Cruz
1,Enugu
2,Lokoja
3,Zanzibar
4,Oshogbo
5,Malanje
6,Cotonou
7,Vientiane
8,Akure
9,Sokoto
10,As-Suways
11,Irkutsk
12,Barnaul
13,Nay Pyi Taw
14,Bulawayo
15,Khabarovsk
16,Bissau
17,Zahedan
18,Vladivostok
19,Calabar
20,Tomsk
21,Mbeya
22,Samarkand
23,Beira
24,Djibouti
25,Bouake
26,Kemerovo
27,Karbala
28,Hamhung
29,Port of Spain
30,Abeokuta
31,Gombe
32,Kikwit
33,Arusha
